#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2012.8320     0.90     0.44
2012.8347     0.78     0.03
2012.8374     0.89     0.64
2012.8402     1.15     -0.01
2012.8429     0.79     0.26
2012.8456     0.99     0.38
2012.8484     0.38     -0.20
2012.8511     0.78     0.25
2012.8538     1.44     0.05
2012.8566     1.15     0.21
2012.8593     -0.04     0.21
2012.8620     0.63     0.67
2012.8648     0.98     -0.48
2012.8675     1.79     -0.67
2012.8702     0.07     0.83
2012.8730     0.66     0.30
2012.8757     0.53     0.07
2012.8784     1.35     2.07
2012.8811     0.91     -0.37
2012.8839     0.71     -0.27
2012.8866     0.60     0.41
2012.8893     1.22     -0.94
2012.8921     1.10     0.37
2012.8948     0.53     -0.78
2012.8975     1.01     0.67
2012.9003     1.05     0.30
2012.9030     0.17     -0.28
2012.9057     0.35     -0.19
2012.9085     0.34     0.00
2012.9112     0.72     -0.22
2012.9139     0.80     -0.53
2012.9167     0.96     -0.69
2012.9194     0.72     -0.23
2012.9221     0.11     -0.79
2012.9249     0.41     -1.17
2012.9276     0.63     -1.23
2012.9303     0.36     0.06
2012.9331     0.62     -0.82
2012.9358     0.21     0.04
2012.9385     -0.33     -1.50
2012.9413     0.54     -0.51
2012.9440     0.67     -1.59
2012.9467     0.46     0.89
2012.9495     0.45     -0.21
2012.9522     -0.27     -0.09
2012.9549     0.02     -1.36
2012.9577     0.72     -0.20
2012.9604     0.64     0.33
2012.9631     0.03     -1.11
2012.9658     -0.51     -0.49
2012.9686     0.28     0.18
2012.9713     -0.27     0.35
2012.9740     0.32     -0.20
2012.9768     0.33     0.04
2012.9795     0.32     -0.18
2012.9822     0.09     -0.99
2012.9850     -0.19     0.28
2012.9877     0.18     0.01
2012.9904     -0.13     1.46
2012.9932     -0.58     1.15
2012.9959     -1.26     -2.13
2012.9986     -0.55     -0.53
2013.0014     0.07     -0.58
2013.0041     -0.98     1.80
2013.0068     -0.73     0.06
2013.0096     0.20     0.94
2013.0123     -0.56     0.98
2013.0151     -0.65     0.19
2013.0178     -1.05     -0.46
2013.0205     0.48     0.32
2013.0233     -0.04     -0.53
2013.0260     -0.35     -1.26
2013.0288     -0.63     0.01
2013.0315     -0.79     0.20
2013.0342     -0.31     0.34
2013.0370     0.24     -1.57
2013.0397     0.05     0.50
2013.0425     -0.30     0.36
2013.0452     -0.89     -1.70
2013.0479     0.64     -2.00
2013.0507     0.51     -1.33
2013.0534     -0.09     0.70
2013.0562     -0.62     0.05
2013.0589     -0.57     0.36
2013.0616     -0.59     -0.33
2013.0644     -0.90     0.25
2013.0671     -0.15     -0.47
2013.0699     -0.53     1.30
2013.0726     -0.17     -0.05
2013.0753     -0.76     0.27
2013.0781     0.39     -1.30
2013.0808     -0.33     -0.95
2013.0836     -1.02     0.07
2013.0863     -0.14     -0.21
2013.0890     1.45     -0.85
2013.0918     0.06     0.99
2013.0945     0.59     -0.74
2013.0973     -0.40     0.67
2013.1000     0.15     0.71
2013.1027     0.24     0.86
2013.1055     0.31     2.27
2013.1082     -0.26     -1.91
2013.1110     -0.16     0.20
2013.1137     -0.75     0.53
2013.1164     -0.21     -0.09
2013.1192     -1.04     0.72
2013.1219     -0.34     1.00
2013.1247     -0.23     0.75
2013.1274     -0.41     1.10
2013.1301     -0.18     -0.69
2013.1329     -0.73     0.58
2013.1356     -0.45     0.60
2013.1384     -0.23     1.85
2013.1411     -0.89     -0.32
2013.1438     0.12     -0.40
2013.1466     0.11     -0.19
2013.1493     0.82     -1.83
2013.1521     0.15     0.32
2013.1548     -0.23     0.77
2013.1575     0.36     0.24
2013.1603     0.22     -0.01
2013.1630     -0.34     -0.05
2013.1658     0.33     -1.11
2013.1685     0.10     0.89
2013.1712     -0.45     0.85
2013.1740     0.19     0.82
2013.1767     -0.83     0.01
2013.1795     -0.28     0.50
2013.1822     0.36     2.41
2013.1849     -0.88     2.10
2013.1877     0.35     0.66
2013.1904     -0.62     -1.14
2013.1932     0.31     -0.26
2013.1959     0.47     -0.22
2013.1986     -0.52     -0.11
2013.2014     -0.00     0.75
2013.2041     0.36     1.56
2013.2068     -0.96     -1.04
2013.2096     0.18     1.27
2013.2123     -0.26     1.64
2013.2151     0.22     0.91
2013.2178     1.30     0.31
2013.2205     -0.62     1.69
2013.2233     0.50     0.73
2013.2260     -0.88     0.19
2013.2288     -1.01     1.28
2013.2315     -0.09     1.27
2013.2342     0.34     1.12
2013.2370     0.22     0.92
2013.2397     0.12     0.97
2013.2425     -1.25     -0.41
2013.2452     -0.21     0.88
2013.2479     0.03     -0.46
2013.2507     1.62     -2.61
2013.2534     0.94     -0.48
2013.2562     0.18     0.44
2013.2589     0.39     -0.52
2013.2616     0.27     0.59
2013.2644     -0.60     0.46
2013.2671     0.12     0.36
2013.2699     0.55     -0.68
2013.2726     -0.22     1.74
2013.2753     -0.13     1.46
2013.2781     1.08     -0.01
2013.2808     0.40     0.60
2013.2836     1.11     -0.61
2013.2863     0.23     1.19
2013.2890     1.78     -0.80
2013.2918     1.51     -0.16
2013.2945     1.37     0.91
2013.2973     -1.25     -1.01
2013.3000     1.06     -0.67
2013.3027     0.46     1.15
2013.3055     0.73     0.09
2013.3082     -0.27     0.39
2013.3110     0.68     3.25
2013.3137     0.16     -0.63
2013.3164     0.13     -0.25
2013.3192     2.05     -0.34
2013.3219     1.46     1.09
2013.3247     0.49     -0.07
2013.3274     -0.41     -3.07
2013.3301     0.43     -0.18
2013.3329     -1.07     -0.04
2013.3356     -0.04     -0.93
2013.3384     2.66     0.69
2013.3411     1.22     -1.68
2013.3438     -0.17     -0.93
2013.3466     2.72     -3.74
2013.3493     1.70     -1.32
2013.3521     0.66     2.17
2013.3548     0.50     1.26
2013.3575     -0.98     -1.39
2013.3603     1.99     -1.47
2013.3630     1.16     0.84
2013.3658     2.12     0.04
2013.3685     2.90     0.03
2013.3712     1.13     0.37
2013.3740     0.77     0.65
2013.3767     0.50     2.57
2013.3795     0.39     -1.93
2013.3822     -0.91     -2.76
2013.3849     1.59     0.69
2013.3877     1.44     -0.41
2013.3904     3.08     -1.40
2013.3932     1.64     0.35
2013.3959     0.73     -2.22
2013.3986     2.15     -3.57
2013.4014     1.70     0.01
2013.4041     0.67     -0.15
2013.4068     2.07     0.21
2013.4096     1.60     -2.95
2013.4123     1.30     0.24
2013.4151     1.18     0.04
2013.4178     1.82     -1.50
2013.4205     -0.92     -3.83
2013.4233     2.72     -1.74
2013.4260     0.99     -2.43
2013.4288     1.32     -2.53
2013.4315     3.16     -3.62
2013.4342     0.91     -0.17
2013.4370     0.48     -0.45
2013.4397     2.52     -2.27
2013.4425     0.07     1.27
2013.4452     0.67     -6.82
2013.4479     1.66     0.65
2013.4507     0.55     -1.18
2013.4534     1.55     -1.27
2013.4562     1.94     -0.83
2013.4589     0.42     -1.39
2013.4616     1.96     0.28
2013.4644     2.35     3.73
2013.4671     1.35     1.01
2013.4699     1.44     2.25
2013.4726     0.94     -2.47
2013.4753     1.52     -2.60
2013.4781     2.38     0.34
2013.4808     0.82     -2.87
2013.4836     1.00     0.24
2013.4863     2.90     -0.53
2013.4890     -1.50     -2.57
2013.4918     4.51     3.63
2013.4945     -0.67     0.96
2013.4973     1.94     -2.31
2013.5000     2.62     -1.85
2013.5027     2.45     -2.78
2013.5055     1.33     -0.28
2013.5082     0.74     -1.04
2013.5110     -2.41     -2.96
2013.5137     1.71     -1.18
2013.5164     0.86     -0.83
2013.5192     0.97     0.85
2013.5219     0.92     0.57
2013.5247     2.25     -0.70
2013.5274     0.68     1.25
2013.5301     0.58     -0.63
2013.5329     0.83     -0.22
2013.5356     -1.16     2.35
2013.5384     -2.56     1.35
2013.5411     2.36     -2.25
2013.5438     0.16     1.93
2013.5466     0.27     1.25
2013.5493     1.01     0.94
2013.5521     2.18     0.29
2013.5548     -0.19     4.39
2013.5575     1.42     3.79
2013.5603     0.28     5.16
2013.5630     0.29     -1.30
2013.5658     1.61     1.52
2013.5685     2.32     0.31
2013.5712     2.00     -0.43
2013.5740     3.45     1.95
2013.5767     2.53     -0.64
2013.5795     1.18     2.11
2013.5822     1.44     1.69
2013.5849     0.72     -1.01
2013.5877     4.59     -2.87
