#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2011.9548     -1.84     -10.63
2011.9575     -1.36     -11.02
2011.9603     -1.64     -11.36
2011.9630     -1.06     -10.17
2011.9658     -1.88     -9.87
2011.9685     -0.89     -10.17
2011.9712     -0.35     -11.01
2011.9740     -0.09     -10.76
2011.9767     -1.19     -10.59
2011.9795     -1.40     -11.80
2011.9822     -1.95     -10.74
2011.9849     -2.43     -10.43
2011.9877     -2.05     -9.33
2011.9904     -1.65     -10.91
2011.9932     -1.99     -10.91
2011.9959     -1.14     -11.53
2011.9986     -2.13     -10.51
2012.0041     -2.05     -11.37
2012.0068     -3.46     -10.91
2012.0096     -1.72     -10.64
2012.0123     -2.80     -11.20
2012.0150     -2.59     -9.99
2012.0178     -2.26     -8.96
2012.0205     -2.76     -11.12
2012.0232     -1.85     -11.68
2012.0260     -2.55     -11.34
2012.0287     -2.12     -10.47
2012.0314     -2.21     -12.17
2012.0342     -0.41     -12.14
2012.0369     -3.22     -11.13
2012.0396     -2.10     -11.30
2012.0423     -3.87     -10.20
2012.0451     -2.39     -11.84
2012.0478     -6.15     -9.41
2012.0505     -2.00     -10.73
2012.0533     -3.22     -10.59
2012.0560     -1.44     -10.15
2012.0587     -2.94     -9.21
2012.0615     -0.87     -9.87
2012.0642     -2.84     -10.61
2012.0669     -1.37     -10.69
2012.0697     -2.53     -11.62
2012.0724     -2.42     -12.10
2012.0751     -2.62     -11.04
2012.0779     -3.89     -11.39
2012.0806     -1.72     -10.56
2012.0833     -2.20     -10.57
2012.0861     -2.77     -10.84
2012.0888     -2.16     -10.59
2012.0915     -2.66     -11.51
2012.0943     -2.42     -11.55
2012.0970     -0.57     -11.46
2012.0997     -1.99     -10.99
2012.1025     -1.61     -11.43
2012.1052     0.11     -12.07
2012.1079     -2.29     -10.69
2012.1107     -3.49     -12.11
2012.1134     -2.53     -13.52
2012.1161     -1.57     -10.82
2012.1189     -0.83     -11.48
2012.1216     -1.25     -11.73
2012.1243     -2.60     -11.41
2012.1270     0.01     -13.84
2012.1298     -2.39     -11.53
2012.1325     -1.88     -12.15
2012.1352     -2.58     -10.99
2012.1380     -2.99     -11.97
2012.1407     -4.10     -9.54
2012.1434     -1.93     -10.98
2012.1462     -2.80     -11.26
2012.1489     -2.54     -9.87
2012.1516     -2.17     -10.72
2012.1544     -2.86     -10.39
2012.1571     -3.59     -11.59
2012.1598     -1.79     -11.46
2012.1626     -3.08     -12.10
2012.1653     -3.33     -9.79
2012.1680     -4.05     -10.26
2012.1708     -1.67     -11.41
2012.1735     -1.33     -11.21
2012.1762     -2.79     -10.93
2012.1790     -0.75     -11.46
2012.1817     -5.84     -6.57
2012.1844     -1.49     -8.63
2012.1872     -1.95     -9.78
2012.1899     -3.72     -11.98
2012.1926     -1.45     -10.81
2012.1954     -1.77     -12.15
2012.1981     -3.07     -14.64
2012.2008     -3.11     -11.73
2012.2036     -2.45     -12.85
2012.2063     -3.11     -12.03
2012.2090     -1.79     -11.30
2012.2117     -1.60     -11.00
2012.2145     -0.54     -10.42
2012.2172     -3.12     -11.29
2012.2199     -0.07     -10.70
2012.2227     -3.92     -10.38
2012.2254     -1.39     -11.83
2012.2281     -3.18     -11.24
2012.2309     -2.89     -11.11
2012.2336     -4.38     -11.32
2012.2363     -4.20     -11.74
2012.2391     -0.56     -12.23
2012.2418     -3.88     -10.80
2012.2445     -3.40     -9.55
2012.2473     -2.21     -11.51
2012.2500     -2.97     -10.84
2012.2527     -2.63     -11.76
2012.2555     -2.43     -11.37
2012.2582     -2.91     -11.07
2012.2609     -5.18     -13.37
2012.2637     -1.98     -10.71
2012.2664     -4.44     -11.15
2012.2691     -1.65     -11.31
2012.2719     -3.34     -10.28
2012.2746     -1.14     -12.35
2012.2773     -3.41     -12.39
2012.2801     -3.01     -12.01
2012.2828     -1.06     -11.25
2012.2855     -3.43     -12.67
2012.2883     -3.95     -11.63
2012.2910     -4.38     -11.15
2012.2937     -1.68     -13.22
2012.2964     -3.08     -11.43
2012.2992     -3.73     -11.03
2012.3019     -2.98     -11.08
2012.3046     -2.71     -10.42
2012.3074     -4.86     -11.77
2012.3101     -4.99     -10.35
2012.3128     -3.82     -10.96
2012.3156     -1.73     -11.32
2012.3183     -0.91     -11.10
2012.3210     -2.20     -13.29
2012.3238     -3.07     -11.92
2012.3265     -5.31     -11.06
2012.3292     -0.95     -12.09
2012.3320     -3.01     -11.85
2012.3347     -0.75     -11.59
2012.3374     -4.05     -10.48
2012.3402     -4.76     -7.78
2012.3429     -3.98     -11.45
2012.3456     -1.58     -14.05
2012.3484     -2.22     -10.98
2012.3511     -2.99     -8.24
2012.3538     -5.44     -8.68
2012.3566     -3.91     -12.60
2012.3593     -2.97     -12.67
2012.3620     -1.51     -11.40
2012.3648     -4.38     -11.38
2012.3675     -2.36     -10.98
2012.3702     -3.78     -10.92
2012.3730     -4.21     -11.89
2012.3757     -6.03     -12.61
2012.3784     -4.53     -10.76
2012.3811     -2.52     -10.34
2012.3839     -3.44     -11.01
2012.3866     -4.13     -10.17
2012.3893     0.42     -11.12
2012.3921     -2.61     -9.76
2012.3948     -2.04     -11.14
2012.3975     -3.14     -10.46
2012.4003     -2.79     -9.64
2012.4030     -1.95     -8.72
2012.4057     -3.89     -10.71
2012.4085     -3.12     -10.87
2012.4112     -2.10     -10.16
2012.4139     -2.26     -9.44
2012.4167     -2.89     -10.39
2012.4194     -4.21     -9.88
2012.4221     -2.24     -9.96
2012.4249     -2.27     -12.41
2012.4276     -3.69     -11.94
2012.4303     -3.32     -10.00
2012.4331     -2.67     -10.82
2012.4358     -2.95     -9.51
2012.4385     0.69     -10.20
2012.4413     -4.32     -9.89
2012.4440     -3.28     -11.14
2012.4467     -4.89     -9.94
2012.4495     -4.53     -9.34
2012.4522     -3.88     -9.12
2012.4549     -4.32     -11.73
2012.4577     -0.61     -10.82
2012.4604     -2.04     -10.24
2012.4631     -3.02     -10.87
2012.4658     -3.30     -11.52
2012.4686     -4.45     -10.29
2012.4713     -2.68     -10.56
2012.4740     -3.22     -11.66
2012.4768     -5.12     -9.46
2012.4795     -2.02     -10.23
2012.4822     -3.09     -9.06
2012.4850     -2.10     -9.35
2012.4877     -2.84     -9.61
2012.4904     -3.60     -10.48
2012.4932     -2.09     -9.35
2012.4959     -2.98     -10.65
2012.4986     -4.42     -7.08
2012.5014     -2.74     -9.35
2012.5041     -2.41     -9.86
2012.5068     -4.44     -8.81
2012.5096     -3.27     -9.32
2012.5123     -2.88     -9.25
2012.5150     -2.48     -9.08
2012.5178     -3.42     -9.02
2012.5205     -3.08     -8.71
2012.5232     -2.74     -10.77
2012.5260     -4.74     -9.64
2012.5287     -2.49     -10.10
2012.5314     -1.65     -10.92
2012.5342     -4.10     -9.92
2012.5369     -2.74     -8.69
2012.5396     -2.28     -8.97
2012.5423     -3.06     -9.52
2012.5451     -2.42     -10.43
2012.5478     -3.26     -10.01
2012.5505     -0.77     -9.89
2012.5533     -2.37     -8.60
2012.5560     -0.44     -9.57
2012.5587     -3.63     -9.15
2012.5615     -1.97     -9.97
2012.5642     -3.78     -10.39
2012.5669     -1.13     -8.52
2012.5697     2.30     -8.06
2012.5724     -0.97     -9.33
2012.5751     0.32     -7.14
2012.5779     -1.77     -6.98
2012.5806     -3.36     -8.37
2012.5833     -1.49     -10.24
2012.5861     -2.23     -10.60
2012.5888     -2.37     -7.63
2012.5915     4.26     -7.08
2012.5943     2.54     -10.55
2012.5970     -1.85     -11.13
2012.5997     -0.12     -9.62
2012.6025     -1.54     -10.70
2012.6052     -0.78     -10.45
2012.6079     -4.09     -10.25
2012.6107     -2.84     -9.27
2012.6134     -3.45     -7.76
2012.6161     -0.89     -7.17
2012.6189     0.07     -8.07
2012.6216     -2.14     -8.25
2012.6243     -4.22     -9.54
2012.6270     -2.73     -9.83
2012.6298     -0.78     -9.80
2012.6325     0.29     -7.78
2012.6352     -2.01     -9.03
2012.6380     -2.90     -10.13
2012.6407     -1.10     -9.28
2012.6434     -0.99     -9.34
2012.6462     -1.63     -9.67
2012.6489     -1.16     -10.05
2012.6516     -3.31     -10.27
2012.6544     -1.80     -8.83
2012.6571     -0.40     -9.28
2012.6598     -2.80     -10.37
2012.6626     -2.88     -10.22
2012.6653     -2.90     -6.81
2012.6680     -1.73     -9.68
2012.6708     -1.47     -10.25
2012.6735     -3.41     -10.08
2012.6762     -4.59     -10.18
2012.6790     -2.12     -9.23
2012.6817     -4.15     -7.77
2012.6844     -2.47     -9.83
2012.6872     -1.87     -8.96
2012.6899     -1.89     -9.35
2012.6926     -0.51     -10.30
2012.6954     -1.57     -9.96
2012.6981     -4.27     -8.70
2012.7008     -1.66     -9.28
2012.7036     -3.35     -10.40
2012.7063     -2.37     -9.45
2012.7090     -3.62     -9.81
2012.7117     -1.93     -8.79
2012.7145     -2.47     -9.69
2012.7172     -1.61     -9.29
2012.7199     -2.53     -11.29
2012.7227     -5.00     -10.39
2012.7254     -2.88     -9.22
2012.7281     -3.80     -8.24
2012.7309     -0.74     -10.53
2012.7336     -1.81     -9.25
2012.7363     -3.00     -10.16
2012.7391     -4.17     -9.03
2012.7418     -2.49     -10.78
2012.7445     -1.42     -7.83
2012.7473     -2.75     -9.89
2012.7500     -3.97     -8.52
2012.7527     -1.03     -8.68
2012.7555     -1.53     -10.01
2012.7582     -3.05     -10.41
2012.7609     -5.57     -8.86
2012.7637     -5.04     -9.08
2012.7664     -3.05     -9.27
2012.7691     -1.70     -9.28
2012.7719     -3.31     -8.80
2012.7746     -2.78     -9.33
2012.7773     -2.88     -9.67
2012.7801     -1.30     -10.13
2012.7828     -2.91     -9.85
2012.7855     -3.33     -9.18
2012.7883     -4.60     -9.12
2012.7910     -3.19     -9.98
2012.7937     -4.64     -9.39
2012.7964     -1.91     -10.87
2012.7992     -3.43     -10.65
2012.8019     -2.24     -10.14
2012.8046     -2.75     -9.52
2012.8074     -2.56     -10.77
2012.8101     -3.03     -9.75
2012.8128     -2.73     -10.65
2012.8156     -3.29     -10.71
2012.8183     -2.55     -10.04
2012.8210     -4.46     -9.16
2012.8238     -4.46     -8.75
2012.8265     -2.72     -10.34
2012.8292     -3.12     -11.42
2012.8320     -3.43     -9.69
2012.8347     -2.15     -9.96
2012.8374     -0.36     -9.62
2012.8402     -1.07     -9.38
2012.8429     -2.52     -10.13
2012.8456     -0.28     -11.51
2012.8484     -2.34     -10.34
2012.8511     -1.97     -10.67
2012.8538     -2.74     -9.98
2012.8566     -3.25     -10.08
2012.8593     -1.66     -10.85
2012.8620     -2.80     -10.35
2012.8648     -2.12     -9.63
2012.8675     -2.02     -9.28
2012.8702     -2.43     -9.85
2012.8730     -2.27     -9.33
2012.8757     -3.64     -9.51
2012.8784     -2.10     -9.63
2012.8811     -2.02     -10.09
2012.8839     -2.64     -9.91
2012.8866     -1.55     -11.40
2012.8893     -2.23     -10.26
2012.8921     -1.22     -11.29
2012.8948     -2.12     -10.32
2012.8975     -2.34     -12.75
2012.9003     -1.50     -11.93
2012.9030     -3.10     -9.81
2012.9057     -2.09     -10.22
