#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2012.7117     -21.94     10.96
2012.7145     -22.50     10.07
2012.7172     -21.66     10.48
2012.7199     -22.61     8.49
2012.7227     -25.10     9.40
2012.7254     -23.01     10.58
2012.7281     -23.95     11.57
2012.7309     -20.91     9.29
2012.7336     -22.01     10.59
2012.7363     -23.21     9.68
2012.7391     -24.41     10.83
2012.7418     -22.75     9.09
2012.7445     -21.71     12.05
2012.7473     -23.06     10.00
2012.7500     -24.30     11.38
2012.7527     -21.39     11.23
2012.7555     -21.91     9.91
2012.7582     -23.46     9.52
2012.7609     -26.00     11.09
2012.7637     -25.49     10.88
2012.7664     -23.52     10.69
2012.7691     -22.20     10.70
2012.7719     -23.83     11.19
2012.7746     -23.33     10.68
2012.7773     -23.45     10.34
2012.7801     -21.89     9.90
2012.7828     -23.53     10.18
2012.7855     -23.97     10.87
2012.7883     -25.26     10.94
2012.7910     -23.87     10.09
2012.7937     -25.35     10.69
2012.7964     -22.64     9.23
2012.7992     -24.19     9.46
2012.8019     -23.02     9.97
2012.8046     -23.55     10.61
2012.8074     -23.38     9.37
2012.8101     -23.88     10.40
2012.8128     -23.60     9.51
2012.8156     -24.19     9.46
2012.8183     -23.46     10.14
2012.8210     -25.40     11.03
2012.8238     -25.42     11.45
2012.8265     -23.71     9.88
2012.8292     -24.13     8.80
2012.8320     -24.46     10.55
2012.8347     -23.20     10.29
2012.8374     -21.44     10.64
2012.8402     -22.17     10.89
2012.8429     -23.64     10.15
2012.8456     -21.42     8.79
2012.8484     -23.51     9.97
2012.8511     -23.17     9.65
2012.8538     -23.96     10.35
2012.8566     -24.50     10.27
2012.8593     -22.93     9.51
2012.8620     -24.09     10.01
2012.8648     -23.43     10.74
2012.8675     -23.35     11.11
2012.8702     -23.79     10.55
2012.8730     -23.65     11.08
2012.8757     -25.05     10.91
2012.8784     -23.53     10.81
2012.8811     -23.47     10.35
2012.8839     -24.12     10.55
2012.8866     -23.05     9.07
2012.8893     -23.75     10.22
2012.8921     -22.77     9.20
2012.8948     -23.69     10.18
2012.8975     -23.93     7.76
2012.9003     -23.12     8.59
2012.9030     -24.74     10.72
2012.9057     -23.76     10.33
2012.9085     -23.74     9.28
2012.9112     -24.42     11.35
2012.9139     -25.62     10.55
2012.9167     -23.83     10.89
2012.9194     -24.23     11.03
2012.9221     -23.41     10.52
2012.9249     -23.81     10.77
2012.9276     -25.05     9.78
2012.9303     -24.86     10.90
2012.9331     -24.42     10.53
2012.9358     -24.83     9.75
2012.9385     -24.67     10.79
2012.9413     -24.37     10.39
2012.9440     -23.53     11.11
2012.9467     -24.72     9.58
2012.9495     -24.15     9.95
2012.9522     -23.73     10.31
2012.9549     -24.08     9.08
2012.9577     -25.72     9.58
2012.9604     -24.09     9.91
2012.9631     -23.33     8.52
2012.9658     -24.03     9.16
2012.9686     -24.46     9.94
2012.9713     -25.56     10.41
2012.9740     -24.16     10.47
2012.9768     -25.44     10.64
2012.9795     -25.02     10.18
2012.9822     -23.80     10.15
2012.9850     -25.86     10.07
2012.9877     -25.85     10.07
2012.9904     -24.25     11.04
2012.9932     -25.61     10.54
2012.9959     -24.31     9.74
2012.9986     -24.33     9.86
2013.0014     -22.97     9.53
2013.0041     -25.00     9.34
2013.0068     -24.46     11.17
2013.0096     -22.54     10.50
2013.0123     -26.03     11.21
2013.0151     -26.06     9.17
2013.0178     -25.09     11.15
2013.0205     -25.79     10.24
2013.0233     -26.64     9.53
2013.0260     -25.36     10.29
2013.0288     -25.67     10.17
2013.0315     -25.56     9.90
2013.0342     -25.29     9.52
2013.0370     -25.74     9.70
2013.0397     -25.97     10.87
2013.0425     -25.39     9.69
2013.0452     -27.19     9.66
2013.0479     -25.51     8.12
2013.0507     -24.69     7.40
2013.0534     -26.58     10.42
2013.0562     -26.00     10.78
2013.0589     -25.48     9.84
2013.0616     -26.82     10.88
2013.0644     -23.46     9.42
2013.0671     -25.94     10.02
2013.0699     -25.54     9.78
2013.0726     -26.53     9.77
2013.0753     -24.57     10.01
2013.0781     -25.86     10.80
2013.0808     -27.47     9.83
2013.0836     -26.60     9.30
2013.0863     -25.98     9.74
2013.0890     -26.89     8.34
2013.0918     -26.75     10.83
2013.0945     -28.85     9.96
2013.0973     -25.65     9.95
2013.1000     -26.06     9.48
2013.1027     -27.05     7.62
2013.1055     -25.79     8.80
2013.1082     -27.21     10.19
2013.1110     -26.80     10.65
2013.1137     -26.61     9.41
2013.1164     -27.42     8.57
2013.1192     -25.57     8.77
2013.1219     -27.17     11.20
2013.1247     -26.53     8.95
2013.1274     -26.11     5.29
2013.1301     -26.63     8.39
2013.1329     -26.33     10.88
2013.1356     -27.19     10.38
2013.1384     -26.79     10.14
2013.1411     -26.11     10.03
2013.1438     -26.04     9.26
2013.1466     -26.14     10.87
2013.1493     -28.31     10.25
2013.1521     -26.17     10.27
2013.1548     -25.88     9.78
2013.1575     -27.32     10.26
2013.1603     -26.73     9.17
2013.1630     -27.38     10.08
2013.1658     -25.83     9.03
2013.1685     -28.16     10.77
2013.1712     -26.96     9.11
2013.1740     -27.62     9.93
2013.1767     -28.14     10.04
2013.1795     -28.74     10.72
