#YYYY.DECM     baseline(mm)     azimuth(millisecond)
2012.0697     18.00     13.54
2012.0724     10.99     9.40
2012.0751     12.79     13.97
2012.0779     12.10     13.85
2012.0806     13.73     13.97
2012.0833     10.36     12.02
2012.0861     9.37     13.46
2012.0888     12.93     10.96
2012.0915     9.60     14.23
2012.0943     10.75     11.29
2012.0970     17.40     20.33
2012.0997     8.39     11.78
2012.1025     16.43     16.14
2012.1052     9.39     18.97
2012.1079     7.84     18.32
2012.1107     10.05     15.19
2012.1134     11.36     16.09
2012.1161     13.96     17.13
2012.1189     11.53     16.53
2012.1216     13.84     13.77
2012.1243     11.83     11.86
2012.1270     12.72     13.47
2012.1298     12.18     17.19
2012.1325     10.98     11.77
2012.1352     13.47     13.92
2012.1380     8.46     10.95
2012.1407     12.10     14.01
2012.1434     8.86     10.38
2012.1462     5.79     10.59
2012.1489     22.27     18.44
2012.1516     29.22     19.40
2012.1544     13.55     16.21
2012.1571     10.76     11.01
2012.1598     13.98     19.08
2012.1626     15.18     16.48
2012.1653     7.73     15.26
2012.1680     13.74     19.78
2012.1708     9.98     15.28
2012.1735     8.86     13.05
2012.1762     9.93     11.82
2012.1790     19.28     19.61
2012.1817     15.95     12.78
2012.1844     13.73     2.54
2012.1872     16.60     13.60
2012.1899     20.40     13.97
2012.1926     15.32     16.14
2012.1954     13.38     15.03
2012.1981     15.32     10.65
2012.2008     17.64     19.19
2012.2036     7.43     11.31
2012.2063     9.98     13.65
2012.2090     11.17     12.67
2012.2117     11.25     13.92
2012.2145     10.39     13.53
2012.2172     8.37     12.21
2012.2199     13.65     8.12
2012.2227     9.10     12.20
2012.2254     11.04     15.09
2012.2281     9.16     14.18
2012.2309     11.06     17.19
2012.2336     10.53     13.05
2012.2363     10.03     13.84
2012.2391     9.05     15.28
2012.2418     20.34     18.67
2012.2445     11.48     15.30
2012.2473     8.35     7.44
2012.2500     8.89     9.50
2012.2527     11.47     13.06
2012.2555     9.05     16.47
2012.2582     8.70     13.67
2012.2609     13.21     11.78
2012.2637     10.13     11.98
2012.2664     10.91     15.14
2012.2691     7.86     10.91
2012.2719     10.62     15.65
2012.2746     9.19     11.53
2012.2773     11.18     10.45
2012.2801     7.69     13.30
2012.2828     9.11     14.29
2012.2855     13.04     14.47
2012.2883     9.24     13.06
2012.2910     13.65     17.18
2012.2937     11.73     13.12
2012.2964     17.09     11.47
2012.2992     15.79     11.17
2012.3019     10.97     9.54
2012.3046     10.63     11.20
2012.3074     22.88     18.63
2012.3101     27.99     25.84
2012.3128     21.61     15.38
2012.3156     8.48     14.38
2012.3183     9.06     12.17
2012.3210     16.76     17.89
2012.3238     17.84     19.05
2012.3265     9.28     12.34
2012.3292     11.50     12.19
2012.3320     7.21     11.58
2012.3347     12.52     16.57
2012.3374     9.14     16.39
2012.3402     9.80     13.21
2012.3429     10.84     12.11
2012.3456     11.85     15.00
2012.3484     12.58     14.09
2012.3511     12.50     17.31
2012.3538     13.42     13.88
2012.3566     11.47     13.50
2012.3593     9.77     10.51
2012.3620     9.22     14.38
2012.3648     9.48     14.59
2012.3675     6.01     11.66
2012.3702     11.28     15.73
2012.3730     11.04     14.79
2012.3757     10.98     13.56
2012.3784     11.93     11.94
2012.3811     9.50     12.53
2012.3839     11.99     14.66
2012.3866     10.52     12.00
2012.3893     11.97     10.94
2012.3921     11.23     16.14
2012.3948     12.12     16.25
2012.3975     11.75     15.36
2012.4003     12.04     7.72
2012.4030     13.41     14.91
2012.4057     16.15     19.78
2012.4085     9.35     10.18
2012.4112     9.33     12.69
2012.4139     10.23     12.81
2012.4167     11.57     12.25
2012.4194     9.99     10.25
2012.4221     13.91     14.42
2012.4249     11.46     14.09
2012.4276     11.34     16.37
2012.4303     15.76     17.53
2012.4331     11.00     12.38
2012.4358     11.77     14.04
2012.4385     11.00     14.92
2012.4413     11.98     14.21
2012.4440     14.44     15.44
2012.4467     12.60     15.15
2012.4495     10.43     9.41
2012.4522     15.51     11.54
2012.4549     13.05     14.92
2012.4577     13.82     15.98
2012.4604     13.39     14.30
2012.4631     13.15     12.92
2012.4658     10.54     12.92
2012.4686     13.32     14.84
2012.4713     15.66     17.01
2012.4740     13.96     15.50
2012.4768     14.84     13.83
2012.4795     14.86     13.54
2012.4822     15.78     16.81
2012.4850     10.11     13.61
2012.4877     12.74     15.86
2012.4904     11.77     14.49
2012.4932     14.61     12.90
2012.4959     12.85     13.28
2012.4986     10.83     15.82
2012.5014     15.75     15.30
2012.5041     14.21     14.37
2012.5068     14.68     15.48
2012.5096     11.00     17.14
2012.5123     10.47     14.94
2012.5150     16.51     15.61
2012.5178     12.81     13.39
2012.5205     13.72     14.86
2012.5232     14.20     16.74
2012.5260     12.97     15.90
2012.5287     14.32     14.90
2012.5314     13.85     16.01
2012.5342     13.73     17.40
2012.5369     13.84     14.66
2012.5396     12.28     13.12
2012.5423     13.40     12.53
2012.5451     13.81     16.72
2012.5478     10.89     16.46
2012.5505     10.81     17.14
2012.5533     13.47     14.52
2012.5560     13.96     14.90
2012.5587     15.51     16.30
2012.5615     14.16     18.19
2012.5642     15.73     16.77
2012.5669     14.24     16.77
2012.5697     14.34     19.96
2012.5724     13.29     15.56
2012.5751     14.22     15.86
2012.5779     13.98     16.12
2012.5806     11.01     12.85
2012.5833     14.24     15.57
2012.5861     11.12     14.72
2012.5888     12.35     19.71
2012.5915     14.30     15.48
2012.5943     15.53     17.65
2012.5970     14.33     17.73
2012.5997     14.05     14.09
2012.6025     11.52     16.22
2012.6052     12.37     13.63
2012.6079     14.61     22.71
2012.6107     14.30     18.75
2012.6134     14.87     21.58
2012.6161     15.05     20.24
2012.6189     12.86     16.85
2012.6216     10.97     17.57
2012.6243     12.16     18.97
2012.6270     12.95     17.67
2012.6298     12.37     16.45
2012.6325     14.89     20.55
2012.6352     15.35     17.80
2012.6380     15.80     15.49
2012.6407     14.02     18.08
2012.6434     13.87     18.40
2012.6462     14.38     20.15
2012.6489     15.24     18.01
2012.6516     13.66     16.75
2012.6544     11.45     16.61
2012.6571     13.70     18.26
2012.6598     13.88     16.78
2012.6626     13.77     19.96
2012.6653     13.72     17.54
2012.6680     13.28     17.48
2012.6708     14.96     17.49
2012.6735     15.33     18.09
2012.6762     15.00     18.26
2012.6790     16.58     18.19
2012.6817     15.17     20.49
2012.6844     17.87     18.93
2012.6872     13.87     17.51
2012.6899     16.27     20.03
2012.6926     16.29     20.19
2012.6954     15.75     16.64
2012.6981     14.52     17.44
2012.7008     15.67     20.29
2012.7036     16.14     20.96
2012.7063     17.18     19.57
2012.7090     16.19     18.77
2012.7117     15.71     19.73
2012.7145     14.06     16.47
2012.7172     16.97     19.10
2012.7199     14.72     19.52
2012.7227     16.58     17.75
2012.7254     16.07     18.53
2012.7281     15.20     17.69
2012.7309     16.33     16.66
2012.7336     13.88     17.52
2012.7363     17.23     17.52
2012.7391     12.97     18.43
2012.7418     13.60     18.78
2012.7445     19.71     21.59
2012.7473     12.69     15.68
2012.7500     14.89     18.33
2012.7527     15.56     19.31
2012.7555     14.88     17.87
2012.7582     16.52     15.17
2012.7609     15.32     16.59
