# Time(a)    BL_length(m)   Sig_bl(m)         Up(mm)  Sig_u(mm)
2011.3110    163961.22436    0.00804         16.3766    0.0000
2011.3137    163961.22417    0.00783         15.9135    0.0000
2011.3164    163961.22537    0.00843         17.2401    0.0000
2011.3192    163961.22670    0.00954         19.1259    0.0000
2011.3219    163961.22563    0.00747         15.5452    0.0000
2011.3247    163961.22382    0.00776         15.9281    0.0000
2011.3274    163961.22667    0.00761         15.5503    0.0000
2011.3301    163961.22193    0.00836         16.9717    0.0000
2011.3329    163961.22479    0.00851         17.3923    0.0000
2011.3356    163961.22649    0.00992         20.6493    0.0000
2011.3384    163961.22518    0.00809         16.3118    0.0000
2011.3411    163961.22446    0.00859         17.4616    0.0000
2011.3438    163961.22531    0.00775         15.9993    0.0000
2011.3466    163961.22465    0.00875         18.1408    0.0000
2011.3493    163961.22398    0.00890         18.4279    0.0000
2011.3521    163961.22497    0.00878         17.8183    0.0000
2011.3548    163961.22574    0.00805         16.5084    0.0000
2011.3603    163961.22909    0.00871         17.6667    0.0000
2011.3630    163961.22964    0.00969         20.0716    0.0000
2011.3658    163961.22650    0.00775         16.1891    0.0000
2011.3685    163961.22679    0.00854         17.8267    0.0000
2011.3712    163961.22705    0.00845         17.4303    0.0000
2011.3740    163961.22526    0.00787         16.2218    0.0000
2011.3767    163961.22706    0.00781         16.3341    0.0000
2011.3822    163961.22684    0.00824         16.7418    0.0000
2011.3849    163961.22344    0.00802         16.6705    0.0000
2011.3877    163961.22609    0.00819         16.5518    0.0000
2011.3904    163961.22437    0.00874         18.1525    0.0000
2011.3931    163961.22457    0.00843         17.3990    0.0000
2011.3959    163961.22829    0.00765         15.8702    0.0000
2011.4014    163961.22542    0.00765         15.6219    0.0000
2011.4041    163961.22717    0.00880         18.0177    0.0000
2011.4068    163961.22568    0.00799         16.3487    0.0000
2011.4096    163961.22630    0.00779         16.1623    0.0000
2011.4123    163961.23006    0.00891         18.3696    0.0000
2011.4151    163961.22281    0.00796         16.2127    0.0000
2011.4178    163961.22374    0.00903         18.7470    0.0000
2011.4205    163961.22345    0.00851         17.4519    0.0000
2011.4233    163961.22608    0.00827         17.0512    0.0000
2011.4260    163961.22358    0.00858         17.7894    0.0000
2011.4288    163961.22506    0.00875         18.1120    0.0000
2011.4315    163961.22541    0.00852         17.5971    0.0000
2011.4342    163961.22549    0.00797         16.3967    0.0000
2011.4370    163961.22819    0.00774         16.0998    0.0000
2011.4397    163961.22834    0.00768         15.7081    0.0000
2011.4425    163961.22758    0.00818         16.8934    0.0000
2011.4452    163961.22690    0.00857         17.9445    0.0000
2011.4479    163961.22754    0.00838         17.5088    0.0000
2011.4507    163961.22705    0.00801         16.6624    0.0000
2011.4534    163961.22661    0.00792         16.4299    0.0000
2011.4562    163961.22719    0.00830         16.9854    0.0000
2011.4589    163961.22587    0.00805         16.8225    0.0000
2011.4616    163961.22795    0.00761         15.9014    0.0000
