# Time(a)    BL_length(m)   Sig_bl(m)         Up(mm)  Sig_u(mm)
2011.9466    247799.09663    0.00346          8.0581    0.0000
2011.9493    247799.09652    0.00365          8.5418    0.0000
2011.9521    247799.09662    0.00358          8.1118    0.0000
2011.9548    247799.09644    0.00348          7.8935    0.0000
2011.9575    247799.09692    0.00352          8.2473    0.0000
2011.9603    247799.09672    0.00350          7.9714    0.0000
2011.9630    247799.09715    0.00358          8.3726    0.0000
2011.9658    247799.09639    0.00345          8.1011    0.0000
2011.9685    247799.09739    0.00334          7.7349    0.0000
2011.9712    247799.09788    0.00345          8.0447    0.0000
2011.9740    247799.09813    0.00366          8.3345    0.0000
2011.9767    247799.09696    0.00343          7.9393    0.0000
2011.9795    247799.09676    0.00374          8.5037    0.0000
2011.9822    247799.09616    0.00354          8.0996    0.0000
2011.9849    247799.09560    0.00355          8.2567    0.0000
2011.9877    247799.09602    0.00364          8.3378    0.0000
2011.9904    247799.09644    0.00386          8.7052    0.0000
2011.9931    247799.09604    0.00341          7.9969    0.0000
2011.9959    247799.09678    0.00360          8.2972    0.0000
2011.9986    247799.09586    0.00350          7.9874    0.0000
2012.0041    247799.09587    0.00384          9.1305    0.0000
2012.0068    247799.09446    0.00361          8.2673    0.0000
2012.0096    247799.09610    0.00376          8.5100    0.0000
2012.0123    247799.09498    0.00359          8.2752    0.0000
2012.0150    247799.09519    0.00333          7.6941    0.0000
2012.0178    247799.09549    0.00344          7.9479    0.0000
2012.0205    247799.09506    0.00367          8.3448    0.0000
2012.0232    247799.09590    0.00361          8.1750    0.0000
2012.0260    247799.09520    0.00388          8.8146    0.0000
2012.0287    247799.09559    0.00385          8.7555    0.0000
2012.0314    247799.09553    0.00357          8.4343    0.0000
2012.0342    247799.09729    0.00384          8.6518    0.0000
2012.0369    247799.09442    0.00372          8.4854    0.0000
2012.0396    247799.09558    0.00352          8.0733    0.0000
2012.0423    247799.09373    0.00355          8.0622    0.0000
2012.0451    247799.09523    0.00362          8.1404    0.0000
2012.0478    247799.09140    0.00374          8.4926    0.0000
2012.0505    247799.09559    0.00363          8.3237    0.0000
