-118.3595 34.0806 FXHS
-118.8934 34.8002 FZHS
-117.9164 38.9703 GABB
-90.3036 0.7427 GALA
112.944 35.776 GAOP
-119.3555 40.4165 GARL
-102.18 37.7755 GDAC
-119.8637 35.1894 GDEC
113.59 24.85 GDSG
116.6 23.42 GDST
113.57 22.28 GDZH
110.3 21.15 GDZJ
-117.3979 34.2039 GHRP
103.7637 36.9444 GHYC
35.4165 33.4793 GILB
106.32 33.8 GLLD
-90.3037 -0.743 GLPS
-115.5214 33.2748 GLRS
30.4968 50.3642 GLSV
-114.8273 33.0511 GMPK
-115.6602 34.784 GMRC
-145.9702 62.1124 GNAA
-114.1894 34.3086 GNPS
-120.8147 45.8388 GOBS
-76.8268 39.0217 GODE
-116.8892 35.4252 GOL2
-116.8892 35.4252 GOLD
14.7856 49.9137 GOPE
-114.1797 40.6402 GOSH
-9.8807 -40.3488 GOUG
6.9206 43.7547 GRAS
15.4935 47.0671 GRAZ
95.76 40.52 GSAX
94.68 40.14 GSDH
104.6 35.55 GSDX
102.89 37.45 GSGL
99.81 39.41 GSGT
105.76 35.53 GSJN
104.06 37.18 GSJT
98.22 39.81 GSJY
104.65 34.99 GSLX
103.67 36.08 GSLZ
102.06 34.02 GSMA
100.8188 38.4641 GSMI
100.82 38.44 GSML
103.09 38.63 GSMQ
104.02 34.43 GSMX
106.59 35.55 GSPL
106.21 34.75 GSQS
105.91 34.48 GSTS
104.82 33.42 GSWD
105.65 34.98 GTAF
106.32 35.02 GTPA
-113.2412 43.2441 GTRG
144.8684 13.5893 GUAM
113.3397 23.1848 GUAN
-90.5202 14.5904 GUAT
114.264 39.744 GULI
144.8027 13.4332 GUUG
-118.1129 34.0474 GVRS
-121.3276 45.7826 GWEN
109.21 21.65 GXBH
106.67 23.92 GXBS
110.31 25.19 GXGL
108.04 24.69 GXHC
104.007 37.038 GXJS
103.8844 37.1709 GXLJ
108.15 22.57 GXNN
111.23 23.48 GXWZ
