# YYYYMMDD	N_correlation	E_correlation	U_correlation
20140310	0.2270051903	-0.002261796022	0.4839045009
20140311	0.281255184	0.03343337993	0.4639240905
20140312	0.3648309575	0.08246423879	0.4043568278
20140313	0.4009764471	0.1365000984	0.2876769908
20140314	0.4302530754	0.2071050977	0.2153948005
20140315	0.4362792343	0.196530981	0.1687850453
20140316	0.4686171592	0.1255203049	0.1601004329
20140317	0.5072281663	0.004279220331	0.1155896101
20140318	0.5187111753	-0.1282797164	0.09275918298
20140319	0.527488964	-0.1404673833	0.07390813586
20140320	0.5206537944	-0.02819786466	0.0571151759
20140321	0.57619177	0.02594399829	0.2078379231
20140322	0.5961673005	0.1466280764	0.2117630989
20140323	0.6029845816	0.2979449554	0.2163275465
20140324	0.5756019214	0.4558076986	0.2595795653
20140325	0.5461082091	0.5094187567	0.3014671251
20140326	0.5301414709	0.4581031237	0.4469158479
20140327	0.5138779231	0.4525688195	0.4084428573
20140328	0.5063076424	0.4613484084	0.4114122094
20140329	0.5062853477	0.3980847798	0.4643589103
20140330	0.5281611628	0.3614738495	0.4603109456
20140331	0.4790389592	0.3281947215	0.4371112187
20140401	0.5277606347	0.3479126387	0.4733455286
20140402	0.582478044	0.3523164603	0.468970974
20140403	0.6234847978	0.3411018113	0.4491477567
20140404	0.6198302195	0.3212201305	0.3198038258
20140405	0.6190254692	0.3087271601	0.170792938
20140406	0.586197905	0.2935325048	0.06709192854
20140407	0.5804327622	0.272762065	0.001618018621
20140408	0.5640501067	0.2692222947	-0.1477657025
20140409	0.609601808	0.2329814519	-0.2575240367
20140410	0.585991499	0.2575742644	-0.3351150909
20140411	0.5653336905	0.2757737972	-0.3806416016
20140412	0.5353146009	0.2758720781	-0.4295068339
20140413	0.5045359633	0.2947698878	-0.4750936163
20140414	0.4691189002	0.3258022039	-0.3397079043
20140415	0.4655426304	0.3140713467	-0.3596527442
20140416	0.4893946539	0.2691164444	-0.3729539845
20140417	0.3924925915	0.2411523206	-0.3192303783
20140418	0.3549401581	0.217647321	-0.2496441124
20140419	0.2241433703	-0.003267350043	-0.1725921315
20140420	0.2818044436	-0.1086176295	-0.04058139115
20140421	0.2732399669	-0.1394022693	0.1030209959
20140422	0.2071622569	-0.1503641823	0.2184714662
20140423	0.07588455184	-0.09498967226	0.2932139938
20140424	-0.02421915058	-0.07290669514	0.3820183466
20140425	-0.134588617	-0.0198300332	0.3968213865
20140426	-0.1568450315	-0.0879572534	0.4132058763
20140427	-0.1781590606	-0.2016721893	0.4130056
20140428	-0.1905127526	-0.3386292049	0.4447516888
20140429	-0.1834940187	-0.4199100455	0.4663148549
20140430	-0.1446829371	-0.4696594409	0.4777215221
20140501	-0.1167839523	-0.4826899167	0.5370278685
20140502	-0.08605591586	-0.4609784437	0.5436121559
20140503	-0.0640356122	-0.3797439666	0.5664536124
20140504	-0.05571377725	-0.2821727959	0.5505100774
20140505	-0.06228110317	-0.1804831755	0.5566467104
20140506	-0.0776786065	-0.0411250695	0.55201538
20140507	-0.09092857633	0.1201282476	0.5342620725
20140508	-0.0948901604	0.2050005594	0.5383844891
20140509	-0.1338109726	0.2298020681	0.5607829392
20140510	-0.1119876435	0.2964898594	0.5907601142
20140511	-0.09690692449	0.3343447988	0.6129687826
20140512	-0.03584561474	0.3368319281	0.6831140612
20140513	0.008304237363	0.3466219857	0.6838037472
20140514	0.0130119367	0.3214420224	0.6997301557
20140515	0.03827482498	0.290930926	0.6647263739
20140516	-0.005691893332	0.2264166065	0.6064504165
20140517	-0.004587051211	0.1617183614	0.5503311041
20140518	-0.0518208966	0.09984309211	0.5232831664
20140519	-0.04049573481	0.06543115458	0.5040852778
20140520	-0.1216683967	0.05160426776	0.472268709
20140521	-0.1831203385	0.04831610888	0.429059575
20140522	-0.2184718849	0.05601119238	0.4637884511
20140523	-0.1960998642	0.01226794928	0.3573940304
20140524	-0.2188723204	0.0009439521471	0.2611747847
20140525	-0.1799482333	0.002943042642	0.2174482597
20140526	-0.2300736916	0.007473805151	0.1316021309
20140527	-0.2677729886	0.04684762239	0.03723338867
20140528	-0.2856698618	0.08423489445	-0.09102076055
20140529	-0.3334006409	0.1507181825	-0.2328343711
20140530	-0.3891358844	0.2151336506	-0.3860681983
20140531	-0.4464266305	0.2980831657	-0.4984083493
20140601	-0.5462010461	0.3754381866	-0.6078211048
20140602	-0.6051950919	0.4222071125	-0.6885096697
20140603	-0.6314217643	0.4357612759	-0.6669893773
20140604	-0.6371019829	0.4412955668	-0.8313369575
20140605	-0.6327937038	0.384766729	-0.7525780079
20140606	-0.6183381879	0.2938940383	-0.7436753429
20140607	-0.6239963083	0.1979050781	-0.7178975385
20140608	-0.5641521513	0.129414641	-0.6894215637
20140609	-0.5110765283	0.01009008034	-0.6551405688
20140610	-0.4219736876	-0.1331354821	-0.5619206426
20140611	-0.3130773921	-0.2520145444	-0.5054747079
20140612	-0.1178082656	-0.3315318602	-0.4520539751
20140613	0.1467387442	-0.4374141157	-0.3902671292
20140614	0.2395980359	-0.4816526021	-0.2943287301
20140615	0.2824227523	-0.5361960365	-0.1899514622
20140616	0.3365401138	-0.5341748785	-0.052747328
20140617	0.3538155848	-0.4213369941	0.1726839506
20140618	0.3894106399	-0.3710122537	0.3740224271
20140619	0.3093837367	-0.32246235	0.5578317533
20140620	0.2635602209	-0.3118973534	0.6062579163
20140621	0.1836465547	-0.335035071	0.6848385154
20140622	0.1404470305	-0.3822313702	0.6424634157
20140623	0.1418601383	-0.2094909169	0.6910808287
20140624	0.1603933293	-0.1282319235	0.7351677334
20140625	0.188411381	-0.3007903538	0.7622109305
20140626	0.2377527246	-0.3343741349	0.7844899312
20140627	0.2721860323	-0.3481440142	0.8004777832
20140628	0.2999143764	-0.3510275356	0.8041018494
20140629	0.2806867134	-0.3438840917	0.8089381089
20140630	0.2951515052	-0.3361057982	0.7874008771
20140701	0.3258915975	-0.3363233887	0.788261224
20140702	0.3469471224	-0.3180468738	0.7850989773
20140703	0.3548371449	-0.2860912762	0.7797643171
20140704	0.378171831	-0.2372144188	0.772229978
20140705	0.4072430805	-0.2503784953	0.8148084152
20140706	0.4372392079	-0.2238999516	0.8068660092
20140707	0.4581312045	-0.2086128818	0.7274409062
20140708	0.4853509201	-0.1868886965	0.6659587571
20140709	0.5179348354	-0.1876687926	0.5351797741
20140710	0.5335450309	-0.1338531435	0.4537320654
20140711	0.5388765169	-0.08059349181	0.443331649
20140712	0.5050746722	-0.08428446592	0.4640047987
20140713	0.3921349126	0.02498576126	0.5101284694
20140714	0.3313342714	0.192873703	0.5629090146
20140715	0.2335541048	0.3666240108	0.6390520766
20140716	0.1545600859	0.5643226565	0.697621872
20140717	0.02686789476	0.6124631891	0.7537412011
20140718	0.007132529241	0.6808860773	0.7501361537
20140719	-0.0269158244	0.7295152045	0.7655569344
20140720	-0.03289793819	0.7659457441	0.7588286087
