#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.1795     -4.41     4.72     3.4344     6.0912
2011.1822     -2.17     4.19     3.6068     6.1922
2011.1849     -1.22     8.02     3.4566     5.9104
2011.1877     -0.98     2.45     2.9482     5.0224
2011.1932     -2.94     -1.82     3.4521     5.9137
2011.1959     0.16     4.34     3.0754     5.1749
2011.1986     3.10     0.16     4.6149     8.8758
2011.2014     1.40     6.62     2.8542     4.8048
2011.2041     0.84     6.79     2.8549     4.8130
2011.2096     0.58     4.56     2.6854     4.2768
2011.2123     -0.23     4.04     3.1322     5.1056
2011.2151     -2.87     10.49     3.2751     5.3713
2011.2178     2.06     7.60     3.3356     5.3768
2011.2205     -4.05     5.61     3.4244     5.6471
2011.2233     -0.53     7.13     3.2574     5.1965
2011.2260     0.76     4.09     3.2840     5.4629
2011.2288     0.68     4.88     3.5471     5.6602
2011.2315     -0.79     7.04     2.9766     4.8193
2011.2342     1.74     5.35     2.8360     4.6293
2011.2370     -0.80     6.33     2.9851     4.9046
2011.2397     -0.10     6.09     3.0574     4.9975
2011.2425     0.48     5.49     2.7231     4.7055
2011.2452     0.71     3.35     2.9089     4.7273
2011.2479     0.28     4.71     3.1748     5.4111
2011.2507     -0.06     3.57     2.9766     4.8192
2011.2534     -0.36     7.35     2.8046     4.8873
2011.2562     0.30     3.06     3.1525     5.3558
2011.2589     0.11     -1.60     2.9774     4.8280
2011.2616     -0.34     9.96     3.6285     6.8792
2011.2644     2.08     3.23     3.5923     6.1021
2011.2671     2.79     9.27     4.9960     8.6259
2011.2699     -1.76     8.60     3.8805     6.5580
2011.2726     -2.35     5.55     3.1353     5.1887
2011.2753     -0.91     0.65     3.2837     5.4569
2011.2781     4.36     6.52     3.8547     6.2978
2011.2808     1.12     2.71     3.0398     4.8256
2011.2836     -0.50     1.25     3.3715     5.7272
2011.2863     2.85     3.86     3.3709     5.7233
2011.2890     0.97     10.61     3.4717     5.4951
2011.2918     2.71     7.04     3.7228     6.1972
2011.2945     0.64     2.76     3.2068     5.2780
2011.2973     0.84     1.16     3.2845     5.4608
2011.3000     0.69     4.31     3.2632     5.2004
2011.3027     1.52     3.56     3.4849     5.6526
2011.3055     -0.94     2.51     3.8457     6.4496
2011.3082     0.63     6.40     3.0638     5.0890
2011.3110     0.31     3.48     3.1004     4.8396
2011.3137     1.62     2.07     2.9448     5.0737
2011.3164     1.72     3.81     3.0638     5.0890
2011.3192     1.13     5.82     3.9347     6.4767
2011.3219     -0.21     5.78     3.1168     5.0063
2011.3247     2.14     14.92     4.0027     6.5706
2011.3274     -0.35     5.17     3.5624     5.7653
2011.3301     0.73     10.55     3.6664     6.2169
2011.3329     0.78     1.97     3.3507     6.0819
2011.3356     3.90     3.79     4.0687     6.7904
2011.3384     3.54     2.36     3.7957     6.2268
2011.3411     2.38     4.95     3.6533     6.0249
