#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.8534     9.67     11.46     4.2621     5.1543
2011.8562     11.03     13.15     3.9483     4.8038
2011.8589     9.22     11.40     3.8803     4.6929
2011.8616     9.43     11.72     3.7278     4.5777
2011.8644     9.53     12.69     4.2355     5.1768
2011.8671     8.69     11.28     3.8746     4.7186
2011.8699     6.54     11.79     3.8789     4.6922
2011.8726     7.56     12.60     4.0018     4.9185
2011.8753     7.25     9.68     4.3560     5.1801
2011.8781     8.49     11.26     3.8349     4.7062
2011.8808     9.54     11.95     4.5402     5.4001
2011.8836     7.79     11.00     4.1732     5.0373
2011.8863     9.19     12.42     4.0339     4.8491
2011.8890     7.85     12.98     3.9021     4.7045
2011.8918     7.95     13.65     3.9336     4.7581
2011.8945     8.88     13.50     3.8044     4.5551
2011.8973     6.77     11.82     4.1562     5.0290
2011.9000     7.81     11.91     3.9935     4.7898
2011.9027     8.47     11.55     3.6836     4.4908
2011.9055     8.59     12.68     3.7552     4.5647
2011.9082     9.76     12.28     4.0313     4.9085
2011.9110     9.42     12.90     3.7040     4.5016
2011.9137     10.73     12.46     3.8810     4.6933
2011.9164     8.54     10.27     3.7545     4.5643
2011.9192     9.47     11.45     3.7773     4.6761
2011.9274     9.17     13.89     4.5354     5.6171
2011.9301     9.64     12.04     4.5934     5.4657
2011.9329     8.60     12.25     3.9572     4.8696
2011.9356     7.89     11.38     4.1102     5.0380
2011.9384     9.86     9.84     3.9184     4.8119
2011.9411     14.29     10.71     4.2740     5.1874
2011.9438     11.82     13.19     4.2113     5.1544
2011.9466     10.20     12.93     4.1490     5.1531
2011.9493     8.84     10.65     3.8591     4.7809
2011.9521     10.83     12.10     3.6961     4.5342
2011.9548     9.06     13.21     3.7216     4.6098
2011.9575     15.16     12.90     3.9967     4.9524
2011.9603     9.81     13.66     4.0141     4.9999
2011.9630     9.19     13.02     3.9009     4.8404
2011.9658     7.59     12.18     3.9104     4.6845
2011.9685     8.71     10.70     3.6966     4.5339
2011.9712     5.88     13.93     3.7205     4.6096
2011.9740     9.18     13.01     3.9640     4.7998
2011.9767     11.11     14.40     4.0428     4.9397
2011.9795     7.24     15.47     4.1879     5.0789
2011.9822     8.83     15.99     3.9774     4.8427
2011.9849     14.24     16.16     3.6439     4.4704
2011.9877     16.04     13.60     4.1103     5.0493
2011.9904     10.11     12.42     4.2953     5.1988
2011.9932     9.92     12.11     3.7026     4.5009
2011.9959     9.33     12.54     3.9139     4.7388
2011.9986     9.31     13.71     3.6827     4.4900
2012.0014     5.99     10.01     4.0491     4.8575
2012.0041     8.64     20.15     3.9848     5.0095
2012.0068     8.97     14.92     3.9734     4.8785
2012.0096     10.45     14.32     4.1513     5.0714
2012.0123     12.10     15.05     4.2231     5.0715
2012.0150     14.20     16.43     3.9056     4.7690
2012.0178     13.13     13.05     3.9259     4.7801
2012.0205     16.59     15.97     4.0640     4.9512
2012.0232     7.29     13.57     3.9419     4.7258
2012.0260     7.15     10.35     4.0558     4.9831
2012.0287     9.14     13.42     4.0531     5.0204
2012.0342     7.15     15.69     4.4593     5.3567
2012.0369     8.55     11.32     4.2323     5.0536
2012.0396     8.50     11.87     3.8196     4.6609
2012.0423     16.05     17.91     3.7372     4.5556
2012.0451     10.76     16.50     3.9391     4.7242
2012.0478     6.19     12.40     3.9406     4.7250
