#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.2233     -7.85     2.27     2.5906     2.0899
2011.2260     -8.78     2.12     2.8171     2.2241
2011.2288     -7.43     2.21     2.5375     1.9909
2011.2315     -7.55     2.39     2.9337     2.2556
2011.2342     -8.97     1.20     2.6173     2.0772
2011.2370     -8.03     1.86     2.5495     2.0199
2011.2397     -9.63     2.13     2.4062     1.9014
2011.2425     -9.12     2.43     2.8709     2.2500
2011.2452     -10.76     2.41     2.6684     2.1016
2011.2479     -7.31     2.34     2.6685     2.1017
2011.2507     -8.17     1.95     2.5464     2.0183
2011.2534     -7.64     2.24     2.7439     2.1661
2011.2562     -10.21     2.59     2.7847     2.1827
2011.2589     -10.60     0.87     2.9982     2.3609
2011.2616     -10.54     0.84     2.8157     2.1731
2011.2644     -9.09     2.00     3.2641     2.5136
2011.2671     -10.51     3.08     2.8560     2.2429
2011.2699     -10.46     1.92     2.7420     2.1622
2011.2726     -8.16     2.25     2.7855     2.1833
2011.2753     -8.73     0.34     2.8634     2.2464
2011.2781     -7.88     1.56     2.8317     2.2550
2011.2808     -8.85     2.88     2.8997     2.3136
2011.2836     -10.18     0.92     2.8573     2.2423
2011.2863     -8.50     1.74     2.9260     2.3003
2011.2890     -9.58     2.20     2.7852     2.1829
2011.2918     -9.73     2.91     3.0483     2.3852
2011.2945     -8.76     2.41     3.2844     2.5971
2011.2973     -9.07     1.48     3.1653     2.4652
2011.3000     -10.40     2.40     3.0898     2.4529
2011.3027     -10.64     1.72     3.0691     2.4185
2011.3055     -11.14     2.03     2.6686     2.1018
2011.3082     -9.46     1.92     3.2637     2.5416
2011.3110     -10.00     2.46     2.9201     2.3270
2011.3137     -9.08     2.92     3.0001     2.3603
2011.3164     -8.83     2.36     2.9798     2.3265
2011.3192     -9.76     3.44     3.1528     2.4358
2011.3219     -10.04     2.69     2.9572     2.3407
2011.3247     -9.57     1.16     3.2649     2.5912
2011.3274     -13.55     1.97     3.6543     2.9041
2011.3301     -9.76     0.46     3.0695     2.4189
2011.3329     -9.19     1.86     2.9040     2.2661
2011.3356     -9.15     1.63     3.0610     2.3433
2011.3384     -11.02     1.44     3.2574     2.5591
2011.3411     -11.04     2.99     2.9971     2.3589
2011.3438     -11.68     1.85     2.9004     2.3127
2011.3466     -11.47     5.73     3.2079     2.5852
2011.3493     -10.82     -2.80     3.3984     2.6762
2011.3521     -11.73     1.78     3.6533     2.9038
2011.3548     -10.80     1.10     3.2278     2.5468
2011.3575     -11.09     3.64     3.0405     2.4309
2011.3603     -10.75     3.02     3.0667     2.4174
2011.3630     -8.92     2.31     3.2290     2.5713
2011.3658     -9.14     3.17     2.7319     2.2078
2011.3685     -10.93     3.54     3.0470     2.4340
2011.3712     -11.08     2.51     3.4249     2.7144
2011.3740     -10.74     3.02     3.0702     2.4268
2011.3767     -10.87     3.10     2.9979     2.3594
2011.3795     -12.53     2.47     2.9317     2.3325
2011.3822     -8.12     3.25     3.2788     2.5938
2011.3849     -10.89     3.62     2.8986     2.3133
2011.3877     -10.62     4.08     3.0428     2.4306
2011.3904     -11.09     3.24     3.2779     2.5945
2011.3932     -8.97     2.65     2.5950     2.0922
2011.3959     -12.89     3.52     3.1848     2.5485
2011.3986     -11.30     4.18     3.1135     2.4900
2011.4014     -11.24     4.67     3.0191     2.3948
2011.4041     -13.23     3.42     3.3964     2.6754
2011.4068     -10.83     2.45     3.1544     2.4896
2011.4096     -10.09     3.54     2.9692     2.3708
2011.4123     -10.84     2.46     3.3291     2.6278
2011.4151     -10.69     2.78     3.5202     2.8102
2011.4178     -10.92     3.75     3.1094     2.4880
2011.4205     -11.62     4.59     3.1807     2.5468
2011.4233     -10.77     3.45     3.5284     2.7150
2011.4260     -9.46     3.67     3.2323     2.5728
2011.4288     -11.85     3.80     3.1564     2.4898
2011.4315     -12.22     2.69     3.8284     3.0334
2011.4342     -10.96     4.49     3.6797     2.9131
2011.4370     -10.77     1.19     3.1877     2.5001
2011.4397     -10.69     3.81     3.0174     2.4237
2011.4425     -12.16     3.07     3.2590     2.6231
2011.4452     -9.12     2.23     3.5860     2.8659
2011.4479     -8.71     3.10     3.4381     2.7742
2011.4507     -10.89     4.97     3.4721     2.7672
2011.4534     -11.80     2.03     3.5349     2.8447
2011.4562     -10.51     4.63     3.3690     2.6883
2011.4589     -10.31     2.24     3.7246     2.9825
2011.4616     -10.51     6.58     3.3225     2.6647
2011.4644     -10.12     3.05     3.3716     2.6933
2011.4671     -10.17     4.83     3.5981     2.8794
2011.4699     -11.58     4.67     3.9111     3.1216
2011.4726     -10.26     2.93     3.7491     2.9701
2011.4753     -11.38     5.16     3.5277     2.8134
2011.4781     -14.70     4.22     4.6467     3.7293
2011.4808     -10.04     3.21     3.2365     2.6053
2011.4836     -10.44     2.42     2.8309     2.2545
2011.4863     -10.20     3.92     3.6953     3.0019
2011.4890     -13.68     3.39     3.0534     2.4368
2011.4918     -11.65     2.76     3.6584     2.9410
2011.4945     -10.64     3.88     3.1315     2.5249
2011.4973     -12.41     3.84     2.9914     2.4081
2011.5000     -12.42     5.81     3.3485     2.7030
2011.5027     -11.51     2.46     3.3174     2.6900
2011.5055     -12.64     5.43     3.2436     2.6320
2011.5082     -8.16     4.83     3.1842     2.5813
2011.5110     -9.89     3.84     3.7024     2.9462
2011.5137     -11.23     2.60     3.7176     2.9569
2011.5164     -12.01     3.49     3.6213     2.9110
2011.5192     -11.46     4.69     3.9114     3.1322
2011.5219     -12.21     4.23     3.2023     2.5829
2011.5247     -11.68     3.29     3.0932     2.5113
2011.5274     -11.57     4.25     2.9442     2.3840
2011.5301     -10.57     4.26     3.0398     2.4294
2011.5329     -11.67     3.29     3.1719     2.6228
2011.5356     -12.08     4.16     2.9932     2.4073
2011.5384     -11.83     2.66     3.4369     2.7735
2011.5411     -14.80     5.11     3.4557     2.7875
2011.5438     -9.17     4.01     3.3224     2.6645
2011.5466     -11.77     2.21     3.5774     2.8905
2011.5493     -8.83     3.18     3.6913     2.9678
2011.5521     -10.14     2.96     5.4292     4.2983
2011.5548     -11.16     3.58     3.4765     2.7391
2011.5575     -11.60     4.27     3.5596     2.8281
2011.5603     -11.60     3.96     3.0465     2.4341
2011.5630     -10.27     3.76     3.4165     2.7603
2011.6096     -10.55     4.55     3.7123     2.9519
2011.6123     -12.94     6.64     3.7502     2.9692
2011.6151     -12.14     5.42     4.0321     3.2038
2011.6178     -14.99     9.65     8.4610     6.2960
2011.6205     -12.67     7.50     3.8057     3.0488
2011.6260     -12.08     5.90     3.5658     2.8977
2011.6288     -14.59     6.01     4.5307     3.6314
2011.6315     -9.78     3.87     3.8929     3.1018
2011.6342     -12.61     2.94     3.8162     3.0873
2011.6370     -12.65     4.92     3.5127     2.8058
2011.6397     -11.31     5.12     3.5126     2.8053
2011.6425     -13.32     6.05     3.2639     2.6139
2011.6452     -11.99     5.85     3.2721     2.6180
