#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.4918     -2.06     -11.94     3.6584     2.9410
2011.4945     -1.02     -10.83     3.1315     2.5249
2011.4973     -2.76     -10.88     2.9914     2.4081
2011.5000     -2.76     -8.93     3.3485     2.7030
2011.5027     -1.82     -12.28     3.3174     2.6900
2011.5055     -2.93     -9.33     3.2436     2.6320
2011.5082     1.57     -9.94     3.1842     2.5813
2011.5110     -0.14     -10.94     3.7024     2.9462
2011.5137     -1.45     -12.19     3.7176     2.9569
2011.5164     -2.21     -11.31     3.6213     2.9110
2011.5192     -1.63     -10.12     3.9114     3.1322
2011.5219     -2.36     -10.59     3.2023     2.5829
2011.5247     -1.81     -11.55     3.0932     2.5113
2011.5274     -1.67     -10.60     2.9442     2.3840
2011.5301     -0.65     -10.60     3.0398     2.4294
2011.5329     -1.73     -11.59     3.1719     2.6228
2011.5356     -2.12     -10.73     2.9932     2.4073
2011.5384     -1.84     -12.23     3.4369     2.7735
2011.5411     -4.78     -9.80     3.4557     2.7875
2011.5438     0.87     -10.91     3.3224     2.6645
2011.5466     -1.71     -12.72     3.5774     2.8905
2011.5493     1.26     -11.76     3.6913     2.9678
2011.5521     -0.03     -11.99     5.4292     4.2983
2011.5548     -1.03     -11.38     3.4765     2.7391
2011.5575     -1.44     -10.71     3.5596     2.8281
2011.5603     -1.42     -11.02     3.0465     2.4341
2011.5630     -0.07     -11.23     3.4165     2.7603
2011.6096     0.05     -10.64     3.7123     2.9519
2011.6123     -2.32     -8.56     3.7502     2.9692
2011.6151     -1.49     -9.79     4.0321     3.2038
2011.6178     -4.32     -5.57     8.4610     6.2960
2011.6205     -1.97     -7.73     3.8057     3.0488
2011.6260     -1.34     -9.35     3.5658     2.8977
2011.6288     -3.83     -9.26     4.5307     3.6314
2011.6315     1.01     -11.41     3.8929     3.1018
2011.6342     -1.81     -12.35     3.8162     3.0873
2011.6370     -1.82     -10.38     3.5127     2.8058
2011.6397     -0.46     -10.19     3.5126     2.8053
2011.6425     -2.44     -9.27     3.2639     2.6139
2011.6452     -1.09     -9.49     3.2721     2.6180
2011.6479     -1.74     -10.11     3.1370     2.5273
2011.6507     0.14     -10.85     3.6566     2.9555
2011.6534     -5.23     -9.60     3.7306     2.9866
2011.6562     -0.27     -9.26     3.7773     3.0089
2011.6589     -0.40     -11.34     3.3231     2.6647
2011.6616     -0.65     -12.62     3.3756     2.7216
2011.6644     -1.19     -10.23     3.2348     2.5735
2011.6671     -2.97     -10.36     3.7975     3.0428
2011.6699     -0.62     -10.26     4.0138     3.2276
2011.6726     -3.49     -10.24     3.3484     2.6523
2011.6753     -1.97     -10.97     3.7702     2.9821
2011.6781     -2.63     -6.95     3.5561     2.8771
2011.6808     -0.17     -8.06     3.4407     2.7976
2011.6836     -2.18     -8.67     2.6192     2.1302
2011.6863     -1.64     -9.10     3.0679     2.4683
2011.6890     -1.54     -9.16     3.1823     2.5476
2011.6918     -2.86     -9.89     3.4688     2.7899
2011.6945     -1.76     -10.46     2.9922     2.4066
2011.6973     -0.82     -11.55     3.3964     2.6754
2011.7027     -1.12     -9.20     2.9218     2.3487
2011.7055     -3.09     -8.29     3.4697     2.7905
2011.7082     -1.71     -9.03     3.0180     2.3945
2011.7110     -3.04     -7.60     3.7098     2.9019
2011.7137     -2.23     -10.25     3.2289     2.5712
2011.7164     -2.49     -10.60     3.0703     2.4221
2011.7192     -3.32     -10.29     3.2814     2.5949
2011.7219     -0.46     -9.38     3.3516     2.6564
2011.7247     -0.95     -11.64     2.9702     2.3715
2011.7274     -3.02     -10.37     3.1816     2.4731
2011.7301     -4.26     -9.91     3.0910     2.4553
2011.7329     -2.89     -9.41     3.0157     2.3733
2011.7356     -1.87     -9.31     3.3748     2.6946
2011.7384     -3.75     -9.80     2.9222     2.3514
2011.7411     -2.89     -10.22     2.9032     2.3137
2011.7438     -1.48     -9.03     3.3285     2.6191
2011.7466     -2.07     -9.08     3.1132     2.4929
2011.7493     -0.83     -10.66     3.2812     2.5946
2011.7521     -1.27     -9.35     3.1097     2.4884
2011.7548     -1.37     -10.12     2.9693     2.3709
2011.7575     -1.03     -9.70     2.9345     2.3042
2011.7603     -1.65     -9.94     3.0907     2.4537
2011.7630     -1.55     -9.17     2.8289     2.2536
2011.7658     -2.39     -8.76     2.8265     2.3036
2011.7685     -2.44     -9.23     3.1111     2.4888
2011.7712     -1.75     -9.55     2.9686     2.3706
2011.7740     -2.59     -9.34     2.8991     2.3135
2011.7822     -0.04     -10.70     3.2821     2.5953
2011.7849     -1.74     -9.96     2.9876     2.3596
2011.7877     -2.19     -10.81     3.1138     2.4897
2011.7904     -1.76     -9.94     2.7578     2.1941
2011.7932     -1.66     -10.41     2.9941     2.4079
2011.7959     -0.81     -11.34     3.0144     2.3728
2011.7986     -2.23     -10.15     2.6882     2.1365
2011.8014     -1.81     -8.86     2.7587     2.1948
2011.8041     -4.54     -5.74     2.8279     2.2532
2011.8068     -2.63     -10.62     2.8766     2.3300
2011.8096     -0.68     -10.27     2.6166     2.0768
2011.8123     -2.41     -9.31     2.7861     2.1834
2011.8151     -2.31     -9.88     2.6903     2.1376
2011.8178     -1.05     -9.93     2.7771     2.2093
