#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.5795     -1.21     4.50     3.4114     4.8434
2011.5822     -0.67     3.87     3.1995     4.5465
2011.5849     -1.21     4.50     3.1252     4.4531
2011.5877     -0.62     4.40     3.1997     4.5481
2011.5904     0.72     5.51     3.0719     4.3389
2011.5932     -0.18     5.12     3.3123     4.6920
2011.5959     -0.93     -0.67     3.1288     4.4457
2011.5986     1.61     2.21     3.2714     4.6492
2011.6014     -0.54     2.58     3.6019     5.0921
2011.6041     -0.41     3.22     3.3901     4.7685
2011.6068     -1.47     4.73     3.5823     5.0595
2011.6096     -0.21     -0.35     3.4812     4.9427
2011.6123     -2.77     -2.38     3.4479     4.9144
2011.6151     -2.70     4.65     3.2694     4.6454
2011.6178     -2.81     2.09     7.2539     10.6871
2011.6205     -2.64     -0.23     3.2614     4.6641
2011.6233     -1.38     5.29     2.9168     4.1491
2011.6260     -1.79     5.92     2.8845     4.0879
2011.6288     0.27     3.26     3.0216     4.3142
2011.6315     -2.27     1.24     3.1863     4.5102
2011.6342     -0.58     2.29     3.1368     4.4553
2011.6370     -1.64     2.49     3.3483     4.7259
2011.6397     -1.33     1.49     3.2037     4.5556
2011.6425     -4.14     0.33     3.3575     4.7348
2011.6452     -1.29     2.64     3.7665     5.3414
2011.6479     -1.95     3.07     3.4209     4.8288
2011.6507     -2.14     6.22     3.3897     4.7681
2011.6534     -2.03     0.78     3.2491     4.5714
2011.6562     -1.64     1.42     3.2997     4.7035
2011.6589     -2.23     2.82     3.2086     4.5270
2011.6616     -2.24     1.72     3.3614     4.7146
2011.6644     0.30     0.50     3.3419     4.7438
2011.6699     -1.95     2.84     2.9560     4.1897
2011.6726     -2.08     3.94     2.7741     3.9475
2011.6753     -1.62     7.51     2.9595     4.1964
2011.6781     -1.91     3.78     2.9562     4.1873
2011.6808     -2.81     2.94     2.9563     4.1900
2011.6836     -2.47     3.73     2.9566     4.1878
2011.6863     -1.05     2.17     3.5217     4.9829
2011.6890     -1.12     4.86     2.9627     4.1940
2011.6918     -1.30     5.43     3.1589     4.5031
2011.6945     -3.50     6.80     3.3089     4.6848
2011.6973     -2.73     1.78     3.3703     4.8019
2011.7000     -4.00     0.57     3.2803     4.6312
2011.7027     -2.34     3.51     3.2300     4.6047
2011.7055     -1.78     5.07     3.0289     4.2884
2011.7082     -2.40     4.71     2.7437     3.8896
2011.7110     -2.23     5.42     2.7464     3.8948
2011.7137     -2.57     1.84     2.6103     3.7015
2011.7164     -2.77     5.40     2.6029     3.6918
2011.7192     -3.05     2.98     2.5335     3.5929
2011.7219     -2.36     4.34     2.6450     3.7348
2011.7247     -2.74     3.93     2.7749     3.9491
2011.7274     -1.95     3.51     2.8182     3.9947
2011.7301     -2.77     1.72     2.9214     4.1585
2011.7329     -2.92     1.91     2.8152     4.0259
2011.7356     -2.87     5.02     2.8811     4.1168
2011.7384     -2.49     5.64     2.6032     3.6925
2011.7411     -3.67     3.93     2.8459     4.0475
2011.7438     -2.53     3.63     2.8467     4.0487
