#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.7740     4.25     0.17     3.0816     4.8149
2011.7795     7.27     0.08     2.8586     4.4775
2011.7822     5.49     -0.31     3.2280     5.1563
2011.7849     5.13     -1.15     2.8146     4.7259
2011.7877     10.77     -4.45     3.0368     4.8970
2011.7904     2.36     -1.95     3.3075     5.3193
2011.7932     4.30     -0.57     2.7768     4.6585
2011.7959     2.18     2.75     2.8586     4.4773
2011.7986     2.87     -0.32     2.5902     4.1441
2011.8014     2.16     -0.10     2.9903     4.4810
2011.8041     -0.15     -1.93     2.9459     4.5690
2011.8068     1.29     -5.78     3.0365     4.8241
2011.8096     6.50     -3.50     2.9028     4.7287
2011.8123     3.95     -1.41     2.6786     4.4716
2011.8151     -0.08     2.06     2.8607     4.5657
2011.8178     -5.84     13.67     3.0841     4.9867
2011.8205     4.55     -3.17     3.1282     5.1492
2011.8233     6.31     -3.92     2.6807     4.3084
2011.8260     5.67     -3.11     2.9483     4.7303
2011.8288     1.67     3.01     2.6380     4.2413
2011.8315     6.13     2.67     2.6792     4.3083
2011.8342     4.50     -2.42     3.0816     4.8149
2011.8370     4.99     -6.86     3.1725     4.9864
2011.8397     3.67     1.56     2.9484     4.4788
2011.8425     6.34     2.34     3.8818     5.8631
2011.8452     1.69     -2.09     2.7690     4.4748
2011.8479     3.21     -5.74     3.3944     5.4870
2011.8507     4.79     -3.68     2.9019     4.6430
2011.8534     4.07     -1.76     2.5902     4.1449
2011.8562     4.27     -3.42     2.4155     3.9802
2011.8589     4.51     -0.72     2.6799     4.1469
2011.8616     4.01     -0.64     1.9187     3.2113
2011.8644     7.55     5.83     2.9006     4.6425
2011.8671     5.92     -0.59     2.4661     3.9811
2011.8699     2.23     0.49     2.4648     3.9809
2011.8726     -0.80     7.02     2.8242     4.2471
2011.8753     14.53     -14.42     2.9124     4.6619
2011.8781     6.56     -9.36     2.6888     4.4002
2011.8808     7.55     -2.70     3.0825     4.6487
2011.8836     6.00     -1.90     2.5896     4.0547
2011.8863     6.26     -1.09     2.6792     4.3077
2011.8890     6.00     -1.71     2.5911     4.0549
2011.8918     4.60     -3.73     2.6778     4.0574
2011.8945     4.50     -2.04     2.6784     4.1468
2011.8973     5.75     -2.71     2.3305     3.8207
2011.9000     5.15     -1.14     2.5028     3.8883
2011.9027     4.82     -0.46     2.3682     3.7987
2011.9055     2.54     -2.85     2.7263     4.2237
2011.9082     4.13     -0.61     2.5463     4.2182
2011.9110     6.20     -3.37     2.3286     3.7231
2011.9137     5.30     -1.87     2.5014     3.8890
2011.9164     6.78     -1.16     2.8581     4.3942
2011.9192     3.14     -0.83     2.3675     3.8850
2011.9301     7.41     -0.08     2.6801     4.4723
2011.9329     1.70     7.57     2.8622     4.5657
2011.9356     5.52     1.40     2.5518     4.3969
2011.9384     11.56     -13.18     2.8265     4.6595
2011.9411     26.19     -21.70     2.8622     4.5657
2011.9438     10.22     -1.16     2.9139     4.9173
2011.9466     3.39     0.17     2.4676     4.2363
2011.9493     0.92     10.61     2.6902     4.4009
2011.9521     2.44     3.94     2.4155     3.9802
2011.9548     0.11     -4.15     2.8622     4.5664
2011.9575     24.68     -36.24     2.6590     4.3436
2011.9603     10.43     -7.93     2.8621     4.8187
2011.9630     -4.37     -4.76     2.4676     4.2372
2011.9658     -0.34     3.33     2.6397     4.5586
2011.9685     5.17     -4.17     2.5454     4.0535
