#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.5384     -0.23     2.79     4.0013     4.8553
2011.5411     1.80     0.40     4.1943     5.1141
2011.5438     -0.46     0.81     4.3299     5.2450
2011.5466     -0.73     3.86     4.5347     5.5391
2011.5493     1.22     3.18     4.7688     5.7569
2011.5521     -2.45     0.24     5.8501     7.0493
2011.5548     -1.00     -0.68     4.9457     5.8582
2011.5575     -1.35     -1.86     5.6581     6.7962
2011.5603     0.10     1.37     4.3598     5.3664
2011.5630     1.02     1.81     4.4235     5.2401
2011.5658     0.58     -0.64     4.4941     5.3520
2011.5685     -1.36     -1.16     4.5691     5.4723
2011.5712     0.65     1.94     4.4292     5.2583
2011.5740     -1.19     2.69     4.8315     5.7968
2011.5767     -2.75     -3.62     6.2782     7.7333
2011.5795     -1.02     0.58     4.4930     5.4117
2011.5822     1.18     1.14     4.0734     4.9306
2011.5849     0.82     5.01     4.2917     5.0858
2011.5877     -0.27     2.05     4.6730     5.6066
2011.5904     0.73     3.29     4.2833     5.1616
2011.5932     0.40     0.64     4.4162     5.2510
2011.5959     0.34     -1.19     4.4428     5.3050
2011.6014     1.14     0.62     4.2952     5.1679
2011.6041     1.35     3.90     4.4520     5.4273
2011.6068     1.40     4.69     4.9498     6.0122
2011.6096     -0.28     7.49     5.1300     6.2466
2011.6123     -0.82     7.05     5.1194     6.1260
2011.6151     -0.07     0.66     4.6723     5.6066
2011.6178     1.64     1.58     9.3254     10.0637
2011.6205     1.18     2.54     4.4623     5.3956
2011.6233     0.05     6.98     4.5110     5.4006
2011.6260     1.22     5.09     4.5085     5.4677
2011.6288     0.01     4.41     4.6490     5.5341
2011.6315     -2.80     0.67     5.5900     6.5939
2011.6342     1.28     3.48     4.2685     5.1718
2011.6370     0.53     0.05     4.3458     5.2603
2011.6397     0.27     2.06     4.3863     5.2350
2011.6452     -0.37     3.03     4.6262     5.5750
2011.6479     -0.56     0.79     3.9655     4.8005
2011.6507     0.63     0.69     4.3361     5.2299
2011.6534     -1.91     1.03     4.3651     5.2835
2011.6562     2.32     1.74     4.8098     5.7603
2011.6589     0.41     -1.57     5.0682     6.0008
2011.6616     -2.26     -0.60     4.9093     5.8955
2011.6644     1.63     0.28     5.3594     6.4151
2011.6671     -2.15     2.59     5.5407     6.5672
2011.6699     0.75     1.05     4.5757     5.5169
2011.6726     -1.84     0.90     5.0901     6.1256
2011.6753     1.94     -0.39     4.9931     5.8188
2011.6781     1.57     5.10     4.5875     5.6005
2011.6808     -0.15     0.30     4.3851     5.2810
2011.6836     3.37     3.41     4.2726     5.2148
2011.6863     2.38     2.16     4.6480     5.5729
2011.6890     3.41     3.88     4.5103     5.4006
2011.6918     0.73     3.50     4.4080     5.3456
2011.6945     3.25     0.76     4.4893     5.4489
2011.6973     2.13     5.20     4.8796     5.8378
2011.7000     1.67     3.20     4.6555     5.6581
2011.7027     -0.20     1.10     4.2109     5.1031
2011.7055     0.58     -0.66     4.2111     5.1537
2011.7082     0.99     -0.63     4.2167     5.0678
2011.7110     0.41     2.31     4.5775     5.3606
2011.7137     0.84     2.36     4.4981     5.3169
2011.7164     1.87     4.51     4.3373     5.2921
2011.7192     2.84     1.86     4.2551     5.1260
2011.7219     -0.69     -2.16     4.5310     5.4322
2011.7247     1.54     2.00     4.4133     5.2710
2011.7274     2.46     0.35     4.3873     5.2361
2011.7301     0.77     -0.57     4.2988     5.1358
2011.7329     -0.09     -0.07     4.5325     5.3142
2011.7356     -1.20     1.86     4.6715     5.5272
2011.7384     -0.74     0.44     4.2298     5.1122
2011.7411     -0.79     3.21     4.4688     5.4187
2011.7438     -1.92     -2.75     4.6315     5.4754
2011.7466     0.00     1.31     4.2145     5.0668
2011.7493     1.48     0.70     4.9440     5.8371
2011.7521     1.94     2.55     4.1145     5.0138
2011.7548     0.21     1.46     4.1024     4.9713
2011.7575     -0.85     1.20     4.0365     4.8743
2011.7603     0.51     0.35     4.4312     5.2712
2011.7630     -0.71     -1.23     4.8451     5.7227
2011.7658     -1.49     1.85     4.6400     5.6125
2011.7685     0.52     2.27     4.5207     5.4505
2011.7712     1.07     2.85     4.6145     5.5377
2011.7740     -1.61     1.00     4.3124     5.2079
2011.7795     0.18     -0.11     4.5756     5.5173
2011.7822     -1.16     0.90     4.5489     5.5201
2011.7849     -1.42     0.39     4.4915     5.4112
2011.7877     -4.01     1.72     4.6705     5.6052
2011.7904     -1.86     2.10     4.5588     5.5081
