#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2011.7027     2.17     -2.76     4.5256     4.6929
2011.7055     2.58     -3.58     4.1832     4.4883
2011.7082     0.55     -4.50     4.6546     4.7124
2011.7110     5.20     -5.54     4.6076     4.7860
2011.7137     3.49     -6.84     4.9430     4.8638
2011.7164     5.34     -2.48     5.0337     5.1832
2011.7192     3.50     -3.47     4.7637     4.9897
2011.7219     4.81     -4.12     4.4051     4.5438
2011.7247     9.36     -0.56     4.7512     4.9719
2011.7274     3.39     -3.72     4.5984     4.6414
2011.7301     6.34     -3.71     5.0740     5.2352
2011.7329     1.45     -2.73     5.4368     5.6230
2011.7356     1.50     -2.10     4.4157     4.6997
2011.7384     2.17     -1.59     4.5181     4.8885
2011.7411     6.41     -4.56     4.4543     4.6801
2011.7438     2.65     -3.63     5.1463     5.3240
2011.7466     2.39     -2.88     4.5297     4.7743
2011.7493     -1.47     -4.00     5.3949     5.3902
2011.7521     1.77     -0.71     4.3842     4.5928
2011.7548     1.49     -0.21     4.2096     4.3614
2011.7575     2.26     -3.01     4.3691     4.3614
2011.7603     5.89     -1.83     5.2054     4.7551
2011.7630     2.09     -2.31     4.5149     4.6121
2011.7658     3.66     -6.07     4.7054     4.9653
2011.7685     4.19     0.24     4.3221     4.5169
2011.7712     3.75     -3.64     4.3294     4.4356
2011.7740     4.22     -2.92     4.4530     4.6036
2011.7795     7.37     -3.65     5.0166     4.9293
2011.7822     4.89     -2.69     5.0732     5.2575
2011.7849     7.56     -3.22     5.0786     5.1743
2011.7877     1.40     -1.87     5.1293     5.2831
2011.7904     1.28     -6.01     4.5321     4.8471
2011.7932     2.86     -3.51     4.3429     4.6748
2011.7959     4.52     -3.52     4.3205     4.5167
2011.7986     4.49     -3.64     4.0196     4.2672
2011.8014     4.49     -2.87     4.5669     4.8072
2011.8041     4.02     -1.79     4.8275     5.0675
2011.8123     4.58     -2.30     4.1332     4.5052
2011.8151     5.03     -5.88     4.1973     4.5716
2011.8205     8.89     -4.92     5.5049     5.8414
2011.8233     2.08     -5.02     4.7440     4.8876
2011.8260     4.04     -7.10     5.0695     5.1585
2011.8288     3.04     -4.89     4.3778     4.5165
2011.8315     2.57     1.16     4.9539     5.0180
2011.8342     5.49     -4.56     4.9463     5.0722
2011.8370     4.31     -5.81     4.6925     4.9379
2011.8397     2.52     -3.04     4.5279     4.6312
2011.8425     5.04     -2.86     4.1883     4.2728
2011.8452     5.78     -4.98     4.2645     4.5085
2011.8479     2.58     -3.87     5.1550     5.2570
2011.8507     5.57     -0.74     4.8829     5.0069
2011.8534     6.51     -1.12     4.3762     4.6495
2011.8562     4.73     -3.96     4.3336     4.5334
2011.8589     5.80     -4.26     5.8046     4.6325
2011.8616     7.38     -3.06     4.0649     4.3405
2011.8644     1.26     -3.55     4.3950     4.7498
2011.8671     5.78     -1.80     3.9802     4.1578
2011.8699     5.75     -3.50     3.8639     4.1413
2011.8726     6.57     -3.96     4.4589     4.6092
2011.8753     5.88     -4.49     4.6687     4.8059
2011.8781     15.86     -7.35     4.1442     4.5063
2011.8808     6.72     -5.62     4.7956     4.8874
2011.8836     5.09     -3.82     3.9183     4.0792
2011.8863     2.89     -1.40     3.4133     3.5985
2011.8890     3.33     0.37     3.4901     3.7681
2011.8918     3.56     -1.55     3.6948     3.8724
2011.8945     3.15     0.16     3.6165     3.7064
2011.8973     2.98     1.13     4.1069     4.3194
2011.9027     0.99     0.32     3.5586     3.8532
2011.9055     2.72     0.54     3.4806     3.6871
2011.9082     3.86     1.79     3.3709     3.6066
2011.9110     2.64     1.99     3.4220     3.7552
2011.9137     2.51     0.34     3.6185     3.6286
2011.9164     0.77     0.88     3.6841     3.7958
2011.9192     0.94     1.97     3.4243     3.7558
2011.9301     2.44     1.08     3.6438     3.8715
2011.9329     -0.31     -0.33     3.7603     3.9592
2011.9356     3.18     0.64     4.3211     4.5891
2011.9384     9.11     -2.34     4.3202     4.5840
2011.9411     7.30     6.97     4.2645     4.5712
2011.9438     5.15     -0.16     5.1222     5.3057
2011.9466     5.43     -2.63     3.8655     4.1580
2011.9493     5.62     -3.10     3.6387     4.0268
2011.9521     -2.58     0.87     3.6274     3.9399
2011.9548     0.68     2.20     3.9766     4.3008
2011.9575     1.47     -0.87     3.6293     3.9402
2011.9740     -3.20     4.03     4.4895     4.7143
2011.9767     1.74     0.13     3.4843     3.6870
2011.9795     3.07     -0.14     3.4186     3.6780
2011.9822     2.87     2.02     3.6957     3.8787
2011.9849     1.73     0.49     3.2874     3.5835
2011.9877     3.37     2.46     3.7055     4.1110
2011.9932     -1.69     2.32     4.0468     4.3901
2011.9959     2.57     4.30     3.8388     4.1282
2011.9986     4.10     3.43     3.9720     4.1474
2012.0014     4.65     -0.97     3.6655     3.9099
2012.0096     -16.67     -2.73     4.5533     4.8050
2012.0123     -12.05     1.46     4.0555     4.2536
2012.0150     -13.53     -0.98     3.9823     4.3133
2012.0861     1.85     6.97     4.5055     4.3828
2012.0888     1.25     2.50     4.0270     4.0771
2012.0915     -7.69     1.54     4.5885     4.7022
2012.0943     -8.75     4.03     3.7537     3.8065
2012.0970     -10.21     4.33     4.5952     4.7119
2012.0997     -12.02     1.89     4.3977     4.6117
2012.1025     -6.80     1.93     4.1811     4.2040
2012.1052     -9.84     5.20     3.6854     3.7960
2012.1079     -18.51     4.14     4.5466     4.7184
2012.1107     -4.49     4.00     4.3638     4.4956
2012.1134     -7.55     7.14     4.9246     4.9083
2012.1161     -5.02     6.80     4.5785     4.4680
2012.1189     -15.84     5.14     4.3967     4.3895
2012.1216     -17.53     1.87     4.8304     4.9141
2012.1243     5.41     2.83     4.2965     4.2713
2012.1380     -6.42     0.47     4.8777     4.7685
2012.1407     -17.18     4.27     4.7250     4.8769
2012.1434     -22.14     2.93     4.8036     4.8965
2012.1462     -23.04     0.66     4.8157     4.9114
2012.1489     -14.96     2.85     4.3081     4.4268
2012.1516     -5.44     2.00     6.0839     5.7073
2012.1544     -10.66     4.68     4.4395     4.3808
2012.1571     -2.98     2.32     4.5940     4.5723
2012.1598     -7.17     1.07     4.4579     4.4669
2012.1626     -7.11     -0.27     4.9223     4.8286
2012.1653     -15.94     3.82     5.5452     5.2468
2012.1680     -10.02     7.38     5.3315     5.1234
2012.1708     -7.31     4.87     4.7817     4.7291
2012.1735     -11.63     2.37     4.6500     4.6379
2012.1762     -15.71     2.78     4.3546     4.3424
2012.1790     -12.81     5.55     3.9560     3.9907
2012.1817     -7.39     9.56     4.4505     4.3825
2012.1844     -6.45     7.23     4.7831     4.7293
2012.1872     3.30     7.59     4.5935     4.7116
2012.1899     -10.32     6.89     4.8785     4.7551
2012.1926     -4.77     9.67     4.8444     4.6638
2012.1954     -7.82     4.71     4.7821     4.6529
2012.1981     -8.30     5.02     5.7262     5.1883
2012.2008     0.89     5.34     4.6458     4.6319
2012.2036     -17.06     3.20     5.7648     5.5765
2012.2063     -13.86     0.11     5.7670     5.8798
2012.2090     -0.96     4.85     4.9959     4.7874
2012.2117     2.75     3.40     4.6580     4.4805
2012.2145     -5.93     4.29     5.1290     5.0918
2012.2172     2.40     4.03     4.2377     4.3383
2012.2199     -1.03     6.15     5.2491     5.1348
2012.2227     -2.40     2.62     5.4066     5.1429
2012.2254     0.54     1.07     5.2120     5.3337
2012.2281     -7.49     6.81     5.7661     5.7075
2012.2309     -5.29     9.33     5.2065     5.2554
2012.2336     -16.77     4.67     6.3014     5.8972
2012.2363     -10.91     1.46     5.3311     5.1981
2012.2391     4.96     3.60     5.4927     5.4507
2012.2418     -1.97     4.86     5.1385     5.1012
2012.2445     -0.34     0.69     4.8864     4.9094
2012.2473     1.74     2.74     5.2766     5.2048
2012.2500     2.22     -3.20     4.9829     4.8378
2012.2527     2.70     1.17     4.5985     4.6300
2012.2555     1.55     2.26     5.6184     5.6263
