#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2015.0096     -0.43     -6.24     2.9229     4.2347
2015.0123     0.36     -1.74     2.8952     4.1854
2015.0151     -1.99     -4.04     2.8898     4.2932
2015.0178     1.43     -5.53     2.8713     4.2159
2015.0205     -1.32     -4.29     2.7825     4.0482
2015.0233     -1.13     -4.78     2.8406     4.2458
2015.0260     0.26     -3.45     2.7392     4.0399
2015.0288     -1.08     -3.22     2.6278     3.7878
2015.0315     -1.31     -3.21     2.6623     3.9329
2015.0342     -1.88     -3.47     2.9266     4.2376
2015.0370     -1.66     -3.17     2.5241     3.7501
2015.0397     -1.86     -4.08     2.7136     3.9551
2015.0425     -1.99     -2.93     2.8042     4.1269
2015.0452     -1.04     -3.03     2.5790     3.7682
2015.0479     -0.78     -2.84     2.5446     3.6185
2015.0507     -1.75     -3.24     2.8794     4.2259
2015.0534     -0.77     -3.71     2.8252     3.9956
2015.0562     -1.23     -4.53     2.6772     3.8008
2015.0589     -0.27     -2.13     2.8717     4.2185
2015.0616     -1.57     -3.69     2.7385     3.9917
2015.0644     0.33     -2.80     2.7197     3.9576
2015.0671     -1.26     -3.32     2.7616     3.9083
2015.0699     -0.63     -4.04     2.8000     4.0752
2015.0726     -1.00     -3.70     3.0669     4.4264
2015.0753     -1.23     -3.69     2.8431     4.0755
2015.0781     -3.68     -2.37     2.9674     4.4112
2015.0808     -0.81     -4.46     2.9403     4.3100
2015.0836     -2.07     -3.86     2.9624     4.3893
2015.0863     -1.27     -3.30     2.8905     4.2978
2015.0890     -0.56     -3.39     2.8962     4.2992
2015.0918     0.56     -3.92     2.9438     4.3107
2015.0945     -1.39     -4.41     2.9082     4.3698
2015.0973     0.40     -2.97     2.8213     4.1984
2015.1000     -0.96     -2.40     2.9273     4.4475
2015.1027     -0.43     -2.03     2.8714     4.2172
2015.1055     -0.26     -3.58     2.9621     4.3881
2015.1082     -0.72     -5.78     3.0302     4.4830
2015.1110     -1.08     -2.09     3.1213     4.6546
2015.1137     -0.64     -4.30     3.0863     4.7117
2015.1164     0.88     -3.59     3.3661     5.0881
