#YYYY.DECM     baseline(mm)     azimuth(millisecond)     sigma_baseline(mm)     sigma_azimuth(millisecond)
2015.1301     2.02     2.60     2.7030     3.8877
2015.1329     3.70     1.23     2.8220     4.2009
2015.1356     1.81     2.28     2.9814     4.4675
2015.1384     2.81     1.20     3.1766     4.6761
2015.1411     1.14     2.56     3.2330     4.9090
2015.1438     0.12     3.68     3.3129     5.0251
2015.1466     3.07     1.69     2.9460     4.5233
2015.1493     2.18     1.94     2.9991     4.5411
2015.1521     1.91     3.73     3.1894     4.7484
2015.1548     3.98     1.42     3.2721     4.8561
2015.1575     0.91     1.75     3.4171     5.1053
2015.1603     1.47     2.03     3.1364     4.7281
2015.1630     2.79     2.69     3.1413     4.7365
2015.1658     2.00     2.42     2.9620     4.3881
2015.1685     3.19     3.11     2.9205     4.1794
2015.1712     3.23     -0.62     2.9966     4.5420
2015.1740     2.93     1.25     2.8710     4.2171
2015.1767     1.35     3.49     3.3086     5.0084
2015.1795     1.61     -0.81     2.9613     4.3868
2015.1822     3.13     4.13     3.1735     4.8803
2015.1849     3.05     -0.46     2.9958     4.5394
2015.1877     0.63     2.48     2.9805     4.4644
2015.1904     0.22     2.65     3.1775     4.6395
2015.1932     2.25     2.10     2.9955     4.4969
2015.1959     2.41     2.56     3.1312     4.6679
2015.1986     2.25     2.41     3.3472     5.1636
2015.2014     1.23     4.38     3.0849     4.5036
2015.2041     0.85     3.08     3.4523     5.4146
2015.2068     0.55     6.62     3.1774     4.6764
2015.2096     1.72     -0.77     3.1408     4.5233
2015.2123     2.43     2.81     3.4220     5.1134
2015.2151     1.89     3.33     3.2802     4.9182
2015.2178     3.20     4.56     3.2990     4.9987
2015.2205     3.17     0.43     3.2930     4.7825
2015.2233     0.52     2.79     3.4029     5.0390
2015.2260     1.37     2.36     3.1326     4.8409
2015.2288     2.25     -0.08     3.0735     4.6379
2015.2315     1.05     3.46     3.4384     5.1821
2015.2342     1.21     0.53     3.5511     5.4375
2015.2370     2.17     -0.17     3.4311     5.1264
2015.2397     2.42     0.64     3.7043     5.6975
2015.2425     2.32     5.38     3.5055     5.2173
2015.2452     0.68     6.64     3.7575     5.7157
2015.2479     -0.47     8.67     3.9490     5.8784
2015.2507     3.40     4.94     4.3637     6.6307
2015.2534     -0.04     16.58     4.2017     6.3191
2015.2562     1.51     3.46     3.4760     5.1315
2015.2589     0.75     3.40     3.2983     4.9949
2015.2616     1.34     1.08     3.5502     5.4006
2015.2644     4.25     1.45     3.2252     4.8386
2015.2671     1.06     2.07     3.3878     5.0668
2015.2699     3.23     1.18     3.4775     5.3392
2015.2726     3.56     2.32     3.2135     4.7893
2015.2753     1.86     4.60     3.2137     4.8288
2015.2781     0.30     3.15     3.2987     4.9973
2015.2808     1.11     5.07     3.6194     5.6759
2015.2836     2.53     4.91     3.3554     5.0247
2015.2863     -0.13     4.51     3.3729     5.0959
2015.2890     0.59     6.08     3.5318     5.3589
2015.2918     0.87     4.28     3.3114     4.8583
2015.2945     2.31     1.83     3.2426     4.7653
